,Number,Name,POSITION,HT.,WT.,YEAR,HOMETOWN,Twitter,Instagram,Position
0,0.0,Antonio Williams,WR,5-11,190.0,So.,"Irmo, S.C.",Twitter,Instagram,
1,0.0,Barrett Carter,LB,6-1,225.0,Jr.,"Suwanee, Ga.",Twitter,Instagram,
2,1.0,Andrew Mukuba,S,6-0,185.0,Jr.,"Austin, Texas",Twitter,Instagram,
3,1.0,Will Shipley,RB,5-11,205.0,Jr.,"Weddington, N.C.",Twitter,Instagram,
4,2.0,Cade Klubnik,QB,6-2,195.0,So.,"Austin, Texas",Twitter,Instagram,
5,2.0,Nate Wiggins,CB,6-2,185.0,Jr.,"Atlanta, Ga.",Twitter,Instagram,
6,3.0,Xavier Thomas,DE,6-2,255.0,+*Sr. (Graduate),"Florence, S.C.",Twitter,Instagram,
7,3.0,Noble Johnson,WR,6-3,205.0,Fr.,"Rockwall, Texas",Twitter,Instagram,
8,5.0,Josh Sapp,TE,6-1,245.0,*Fr.,"Greenville, S.C.",Twitter,Instagram,
9,5.0,Sherrod Covil Jr.,S,5-11,195.0,So.,"Chesapeake, Va.",Twitter,Instagram,
10,6.0,Sheridan Jones,CB,6-0,190.0,+Sr. (Graduate),"Norfolk, Va.",Twitter,Instagram,
11,7.0,Phil Mafah,RB,6-1,230.0,Jr.,"Loganville, Ga.",Twitter,Instagram,
12,7.0,Justin Mascoll,DE,6-4,255.0,+*Sr. (Graduate),"Snellville, Ga.",Twitter,Instagram,
13,8.0,Tré Williams,DT,6-2,300.0,*Jr.,"Windsor, Conn.",Twitter,Instagram,
14,8.0,Adam Randall,WR,6-2,230.0,So.,"Myrtle Beach, S.C.",Twitter,Instagram,
15,9.0,Jake Briningstool,TE,6-6,230.0,Jr.,"Brentwood, Tenn.",Twitter,Instagram,
16,9.0,R.J. Mickens,S,6-0,210.0,Sr.,"Southlake, Texas",Twitter,Instagram,
17,10.0,Troy Stellato,WR,6-1,190.0,*So.,"Fort Lauderdale, Fla.",Twitter,Instagram,
18,10.0,Jeadyn Lukus,CB,6-2,195.0,So.,"Mauldin, S.C.",Twitter,Instagram,
19,11.0,Peter Woods,DL,6-2,300.0,Fr.,"Alabaster, Ala.",Twitter,Instagram,
20,11.0,Sage Ennis,TE,6-4,235.0,*Jr. (Graduate),"Graceville, Fla.",Twitter,Instagram,
21,12.0,Paul Tyson,QB,6-5,230.0,*Sr. (Graduate),"Trussville, Ala.",Twitter,Instagram,
22,12.0,T.J. Parker,DL,6-4,255.0,Fr.,"Phenix City, Ala.",Twitter,Instagram,
23,13.0,Brannon Spector,WR,6-1,205.0,*Sr.,"Calhoun, Ga.",Twitter,Instagram,
24,13.0,Tyler Davis,DT,6-2,300.0,+Sr. (Graduate),"Apopka, Fla.",Twitter,Instagram,
25,14.0,Shelton Lewis,CB,5-11,180.0,Fr.,"Stockbridge, Ga.",Twitter,Instagram,
26,14.0,Trent Pearman,QB,6-0,185.0,*Fr.,"Clemson, S.C.",Twitter,Instagram,
27,15.0,Jahiem Lawson,DE,6-2,235.0,*Fr.,"Central, S.C.",Twitter,Instagram,
28,16.0,Will Taylor,WR,5-10,180.0,Jr.,"Irmo, S.C.",Twitter,Instagram,
29,16.0,Myles Oliver,CB,5-11,180.0,*Fr.,"Villa Rica, Ga.",Twitter,Instagram,
30,17.0,Wade Woodaz,LB,6-3,215.0,So.,"Tampa, Fla.",Twitter,Instagram,
31,17.0,Christopher Vizzina,QB,6-4,215.0,Fr.,"Birmingham, Ala.",Twitter,Instagram,
32,18.0,Hunter Helms,QB,6-2,215.0,*Jr.,"West Columbia, S.C.",Twitter,Instagram,
33,18.0,Kylon Griffin,S,5-11,190.0,*Fr.,"Montgomery, Ala.",Twitter,Instagram,
34,19.0,DeMonte Capehart,DT,6-5,305.0,*Jr.,"Hartsville, S.C.",Twitter,Instagram,
35,19.0,Keith Adams Jr.,RB,5-9,210.0,*Fr.,"St. George, Utah",Twitter,Instagram,
36,20.0,Domonique Thomas,RB,5-8,215.0,*Jr.,"Ohatchee, Ala.",Twitter,Instagram,
37,21.0,Malcolm Greene,CB,5-10,195.0,Sr. (Graduate),"Richmond, Va.",Twitter,Instagram,
38,22.0,Cole Turner,WR,6-1,180.0,*Fr.,"Vestavia Hills, Ala.",Twitter,Instagram,
39,22.0,Dee Crayton,LB,6-1,215.0,Fr.,"Alpharetta, Ga.",Twitter,Instagram,
40,23.0,Peyton Streko,RB,5-10,180.0,Fr.,"Cumming, Ga.",Twitter,Instagram,
41,23.0,Toriano Pride Jr.,CB,5-11,190.0,So.,"St. Louis, Mo.",Twitter,Instagram,
42,24.0,Hamp Greene,WR,5-9,180.0,*Sr. (Graduate),"Birmingham, Ala.",Twitter,Instagram,
43,24.0,Tyler Venables,S,5-11,210.0,Sr.,"Clemson, S.C.",Twitter,Instagram,
44,25.0,Jalyn Phillips,S,6-1,205.0,+Sr. (Graduate),"Lawrenceville, Ga.",Twitter,Instagram,
45,25.0,Blackmon Huckabee Jr.,WR,5-11,190.0,*Jr.,"Clover, S.C.",Twitter,Instagram,
46,26.0,T.J. Dudley,LB,6-1,230.0,*Fr.,"Montgomery, Ala.",Twitter,Instagram,
47,29.0,Davian Sullivan,WR,6-4,195.0,*Sr.,"Woodruff, S.C.",Twitter,Instagram,
48,30.0,Kylen Webb,S,6-1,185.0,Fr.,"Tampa, Fla.",Twitter,Instagram,
49,31.0,Tristen Rigby,RB,5-10,205.0,*So.,"St. Gabriel, La.",Twitter,Instagram,
50,31.0,Kobe McCloud,LB,5-10,225.0,*Fr.,"Tampa, Fla.",Twitter,Instagram,
51,32.0,Wise Segars Jr.,RB,6-1,200.0,*So.,"Sumter, S.C.",Twitter,,
52,32.0,Jamal Anderson,LB,6-4,205.0,Fr.,"Buford, Ga.",Twitter,Instagram,
53,33.0,Ruke Orhorhoro,DT,6-4,295.0,*Sr. (Graduate),"Lagos, Nigeria",Twitter,Instagram,
54,33.0,Griffin Batt,TE,6-0,220.0,*Fr.,"Clemson, S.C.",Twitter,Instagram,
55,34.0,Armon Mason,DE,6-2,225.0,*So.,"Richmond Hill, Ga.",Twitter,Instagram,
56,34.0,Kevin McNeal,RB,5-9,195.0,*So.,"Tuscaloosa, Ala.",,Instagram,
57,36.0,Quinn Castner,PK,5-5,145.0,*Jr.,"Fort Mill, S.C.",Twitter,Instagram,
58,36.0,Khalil Barnes,S,6-1,190.0,Fr.,"Athens, Ga.",Twitter,Instagram,
59,37.0,Liam Boyd,PK,6-0,185.0,*Fr.,"Asheville, N.C.",Twitter,Instagram,
60,37.0,Jacob Hendricks,S,5-7,170.0,*So.,"Six Mile, S.C.",Twitter,Instagram,
61,38.0,Peter Nearn,S,6-2,205.0,*So.,"Memphis, Tenn.",Twitter,Instagram,
62,38.0,Robert Gunn III,PK,6-0,180.0,*Fr.,"Seminole, Fla.",Twitter,Instagram,
63,39.0,Bubba McAtee,S,6-3,205.0,*Jr.,"Central, S.C.",Twitter,Instagram,
64,39.0,Aidan Swanson,P/PK,6-3,170.0,*Sr. (Graduate),"Tampa, Fla.",Twitter,Instagram,
65,40.0,Brodey Conn,S/P,6-0,200.0,*Fr.,"Clemson, S.C.",Twitter,Instagram,
66,41.0,Caleb Nix,S,6-0,200.0,*Fr.,"Phenix City, Ala.",Twitter,Instagram,
67,43.0,Will Blackston,TE,6-1,255.0,*Jr.,"Honea Path, S.C.",Twitter,Instagram,
68,43.0,Riggs Faulkenberry,LB,6-1,210.0,*So.,"Greenville, S.C.",Twitter,Instagram,
69,44.0,Banks Pope,TE,6-4,240.0,*So.,"Columbia, S.C.",Twitter,,
70,44.0,Cade Denhoff,DE,6-5,255.0,*So.,"Plant City, Fla.",Twitter,Instagram,
71,45.0,Philip Florenzo,LS,6-2,240.0,*Jr.,"Towson, Md.",,,
72,45.0,Vic Burley,DL,6-4,300.0,Fr.,"Warner Robins, Ga.",Twitter,Instagram,
73,46.0,Jaden Kinard,S,5-10,180.0,*Fr.,"Pawleys Island, S.C.",,Instagram,
74,47.0,Hogan Morton,PK,5-9,165.0,*So.,"Birmingham, Ala.",,,
75,47.0,Boston Miller,S,6-2,200.0,*Fr.,"Central, S.C.",Twitter,Instagram,
76,49.0,Matthew Maloney,LB,6-0,215.0,*Sr.,"Clemson, S.C.",,Instagram,
77,50.0,Fletcher Cothran,LB,6-3,210.0,*Fr.,"Anderson, S.C.",Twitter,Instagram,
78,50.0,Collin Sadler,OL,6-6,325.0,*Fr.,"Inman, S.C.",Twitter,Instagram,
79,51.0,Peyton Pitts,OL,6-6,300.0,*Fr.,"Clinton, S.C.",Twitter,Instagram,
80,51.0,Colby Doolittle,LB,6-2,235.0,*So.,"Newberry, S.C.",Twitter,Instagram,
81,52.0,Joey Eddis,LB,5-11,205.0,*Jr.,"Lawrence, Kan.",Twitter,Instagram,
82,53.0,Ryan Linthicum,C,6-3,305.0,*So.,"Damascus, Md.",Twitter,Instagram,
83,54.0,Jeremiah Trotter Jr.,LB,6-0,230.0,Jr.,"Hainesport, N.J.",Twitter,Instagram,
84,54.0,Ian Reed,OL,6-6,315.0,Fr.,"Austin, Texas",Twitter,Instagram,
85,55.0,Harris Sewell,OL,6-3,315.0,Fr.,"Odessa, Texas",Twitter,Instagram,
86,55.0,Payton Page,DT,6-4,315.0,Jr.,"Greensboro, N.C.",Twitter,Instagram,
87,56.0,Will Putnam,OL,6-4,315.0,+Sr. (Graduate),"Tampa, Fla.",Twitter,Instagram,
88,56.0,Reed Morrissey,LB,6-0,225.0,*So.,"Greenville, S.C.",Twitter,,
89,57.0,Chandler McMaster,LB,6-3,225.0,*Fr.,"Greenville, S.C.",Twitter,Instagram,
