,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Image,Title
0,,0.0,Kaylin Moore,CB,5-10,185.0,So.,"Westlake Village, Calif. / Oaks Christian",Colorado,,@kaylinmoore11,assassinkiller___,,
1,,0.0,Victor Venn,TB,5-10,170.0,Fr.,"Buford, Ga. / Buford",Colorado,,Vic6Venn,_venn6,,
2,,1.0,Montana Lemonious-Craig,WR,6-2,190.0,So.,"Inglewood, Calif. / Inglewood",Colorado,,@montana_l_craig,tanathechamp,,
3,,1.0,Guy Thomas,OLB,6-4,245.0,Sr.,"Miami, Fla. / Booker T. Washington",Colorado,Coahoma Community College,@17sackmangt,17sackmangt,,
4,,2.0,R.J. Sneed II,WR,6-1,195.0,Gr.,"Cypress, Texas / Cypress Ranch",Colorado,Baylor,,,,
5,,2.0,Jaylen Striker,S,6-3,200.0,Jr.,"Tampa, Fla. / Jefferson",Colorado,Independence Community College,@ngstrike3,j.striker_,,
6,,3.0,Jeremy Mack Jr.,S,6-0,190.0,So.,"Clinton, Miss. / Clinton/East Mississippi CC",Colorado,,JeremyMack2021,jmackk3,,
7,,3.0,Chase Penry,WR,6-1,190.0,So.,"Greenwood Village, Colo. / Cherry Creek",Colorado,,@chase_penry,chasepenry,,
8,,4.0,Jamar Montgomery,OLB,6-2,250.0,Sr.,"Birmingham, Ala. / Parker",Colorado,Independence CC,@jlmway4L,jlmway,,
9,,4.0,Jordyn Tyson,WR,6-2,185.0,Fr.,"Allen, Texas / Allen",Colorado,,tyson_jordyn,jordyntyson_,,
10,,5.0,J.T. Shrout,QB,6-3,210.0,So.,"Santa Clarita, Calif. / Hart",Colorado,Tennessee,,,,
11,,5.0,Tyrin Taylor,S,6-2,185.0,So.,"Huntersville, N.C. / William A. Hough",Colorado,,@tyrintaylor3,4landlord,,
12,,6.0,Daniel Arias,WR,6-4,215.0,Sr.,"Mill Creek, Wash. / Henry M. Jackson",Colorado,,,Thats_6ix,,
13,,6.0,Nikko Reed,CB,5-10,185.0,So.,"Oakland, Calif. / Moreau Catholic",Colorado,,nikko_reed,nikko6reed,,
14,,7.0,Marvin Ham II,ILB,6-1,225.0,So.,"Belleville, Mich. / Belleville",Colorado,,@aye_itsmarvin23,Marvhamll,,
15,,7.0,Owen McCown,QB,6-2,175.0,Fr.,"Rusk, Texas. / Rusk",Colorado,,,,,
16,,8.0,Josh Chandler-Semedo,ILB,5-10,230.0,Gr.,"Canton, Ohio / McKinley",Colorado,West Virginia,,,,
17,,8.0,Alex Fontenot,TB,6-0,205.0,Sr.,"Richmond, Texas / George Ranch",Colorado,,@_alexfontenot,alexfontenot_,,
18,,8.0,Oakie Salave'a,ATH,6-4,220.0,Fr.,"Leone Ili'Ili, American Samoa /",Colorado,,o_salav8a,o_salav8a,,
19,,9.0,Drew Carter,QB,6-3,195.0,So.,"Tigard, Ore. / Tigard",Colorado,,@Drew_503,dcsmooth_,,
20,,9.0,Dylan Dixson,S,6-2,165.0,Fr.,"Houston, Texas / Pearland",Colorado,,dixson_dylan,hunchodyl_,,
21,,10.0,Jaylon Jackson,WR,5-10,175.0,Sr.,"Cedar Hill, Texas / Cedar Hill",Colorado,,@jaylonjackson10,jaylondatruth,,
22,,10.0,Eoghan Kerry,ILB,6-3,235.0,Fr.,"Bakersfield, Calif. / Mater Dei",Colorado,,eoghankerry,eoghankerry,,
23,,12.0,Quinn Perry,ILB,6-2,245.0,Sr.,"Marina Del Rey, Calif. / Palisades",Colorado,El Camino College,@qperry6,qperry12,,
24,,13.0,Maurice Bell,WR,6-0,185.0,Sr.,"Murrieta, Calif. / Murrieta Valley",Colorado,,@swavymo,swavy_mo,,
25,,13.0,Justin Jackson,DL,6-2,280.0,Sr.,"Olive Branch, Miss. / Center Hill",Colorado,Northwest Mississippi Community College,Justinjacksonxx,Justinjacksonx13,,
26,,14.0,Maddox Kopp,QB,6-5,210.0,Fr.,"Houston, Texas / St. Thomas",Colorado,Houston,,,,
27,,15.0,Simeon Harris,CB,6-0,180.0,Fr.,"Vallejo, Calif. / Benicia",Colorado,,21_SHarris,21_SHarris,,
28,,15.0,Chase Sowell,WR,6-3,200.0,Fr.,"Humble, Texas / Atascocita",Colorado,,SowellChase15,sowell_chase,,
29,,16.0,Colton Allen,QB,6-3,200.0,Fr.,"Highlands Ranch, Colo. / Valor Christian",Colorado,,@Colton_allen19,colton.allen19,,
30,,16.0,Jordan Woolverton,S,6-2,195.0,Fr.,"Durango, Colo. / Durango",Colorado,,jjwool10,jordan.woolverton,,
31,,17.0,Xavier Smith,S,6-2,185.0,Fr.,"Atlanta, Ga. / Langston Hughes",Colorado,,xae2huncho,xae.2up,,
32,,18.0,Caleb Fauria,TE,6-5,240.0,Fr.,"Attleboro, Mass. / Bishop Feehan",Colorado,,@caleb_4ea,caleb4ea,,
