,Statistic,#,Full Name,C,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Image,Name,Title
0,,1.0,Zach Mundell,,So.,QB,5-9,181.0,"Arlington, TX / Martin High School (USMAPS)",,,
1,,1.0,Daelan Smith,,Sr.,DB,5-10,188.0,"Fort Valley, Ga / Peach Valley HS",,,
2,,2.0,Anderson Britton,,So.,K,5-9,165.0,"Ringgold, GA / Heritage High School",,,
3,,2.0,Bo Nicolas-Paul,,Sr.,DB,5-11,180.0,"Irvington, N.J. / Hillside (USMAPS)",,,
4,,3.0,Ay'Jaun Marshall,,Sr.,RB,5-11,187.0,"Baltimore, Md / West York Area (USMAPS)",,,
5,,3.0,Jabril Williams,,So.,DB,5-10,179.0,"Joliet, IL / Joliet Catholic Academy (USMAPS)",,,
6,,4.0,Ahlon Mitchell,,Jr.,QB,5-11,177.0,"Beverly Hills, MI / Detroit Country Day (USMAPS)",,,
7,,4.0,Jabari Moore,,Sr.,DB,5-11,195.0,"Hoover, AL / Hoover",,,
8,,6.0,Jacob Azizi,,So.,QB,6-0,175.0,"Fort Myers, FL / Bishop Verot High (USMAPS)",,,
9,,7.0,Charlie Barnett,,So.,K,6-2,182.0,"Austin, TX / Westlake High School",,,
10,,7.0,Jimmy Ciarlo,,Sr.,OLB,6-2,215.0,"Ringwood, N.J. / St. Joseph Regional (USMAPS)",,,
11,,8.0,Keanu Rebuldela-Kama,,So.,DB,6-2,191.0,"Aliso Viejo, CA / Santa Margarita Catholic High School (USMAPS)",,,
12,,9.0,Justin Weaver,,So.,DB,5-11,176.0,"Decatur, GA / Decatur High School (USMAPS)",,,
13,,10.0,Dewayne Coleman,,So.,QB,5-10,193.0,"Selma, TX / Theodore Roosevelt High School (USMAPS)",,,
14,,10.0,Cameron Jones,,Sr.,DB,5-9,180.0,"Carson, Ca / Harvard-Westlake (USMAPS)",,,
15,,10.0,Nick Smith,,So.,DB,6-1,195.0,"Danbury, CT / Danbury High School",,,
16,,11.0,Isaiah Alston,,Jr.,WR,6-4,195.0,"Carteret, N.J. / Mater Dei Prep (USMAPS)",,,
17,,11.0,Tommy Zitiello,,Jr.,DB,6-2,200.0,"Ponte Vedra, FL / Ponte Vedra",,,
18,,13.0,Bryson Daily,,Jr.,QB,6-0,218.0,"Abernathy, TX / Abernathy (USMAPS)",,,
19,,14.0,Jordan Burrell,,Jr.,DB,6-0,198.0,"Columbia, S.C. / Blythewood High School",,,
20,,14.0,Bryce Davis,,So.,QB,5-10,176.0,"Vidalia, GA / Vidalia Comprehensive High School",,,
21,,15.0,Quinn Maretzki,,Sr.,K,5-10,170.0,"Honolulu, HI / Punahou",,,
22,,15.0,Jaydan Mayes,,So.,DB,5-10,179.0,"Fairfield, OH / Fairfield High School (USMAPS)",,,
23,,16.0,Taylor Saulsberry,,So.,WR,6-3,208.0,"Katy, TX / Katy High School (USMAPS)",,,
24,,16.0,Damon Washington,,Jr.,DB,5-11,191.0,"East Brunswick, N.J. / Blair Academy (USMAPS)",,,
25,,17.0,Alex Meredith,,Sr.,QB,5-11,200.0,"Anderson, S.C. / T.L. Hanna HS (USMAPS)",,,
26,,18.0,Zion Sims,,So.,DB,5-11,171.0,"Mission Viejo, CA / Servite High School",,,
27,,19.0,Aaron Bibbins,,Jr.,DB,6-1,195.0,"Kennesaw, Ga / Sprayberry (USMAPS)",,,
28,,19.0,Sabastian Shannon,,So.,RB,6-0,188.0,"Las Vegas, NV / Bishop Gorman (USMAPS)",,,
29,,20.0,Jofranstar Graham,,So.,RB,5-10,172.0,"Martinez, GA / Evans High School (USMAPS)",,,
30,,21.0,Tyrell Robinson,,Jr.,RB,5-9,180.0,"Dallas, Ga / East Paulding (USMAPS)",,,
31,,21.0,Tim Thurman Jr.,,So.,DB,5-10,175.0,"Demopolis, AL / Linden High School (USMAPS)",,,
32,,22.0,Casey Larkin,,So.,DB,6-0,186.0,"Brielle, N.J. / Wall High School (USMAPS)",,,
33,,22.0,Miles Stewart,,Jr.,RB,5-10,201.0,"New Orleans, La / Lusher Charter School (USMAPS)",,,
34,,23.0,Chance Keith,,Jr.,DB,5-11,197.0,"Biloxi, MS / Biloxi",,,
35,,23.0,Noah Short,,So.,RB,5-11,175.0,"San Jose, CA / The King'S Academy (USMAPS)",,,
36,,25.0,Josiah Banks,,Jr.,LB,6-1,205.0,"Lewisville, N.C. / Mount Tabor",,,
37,,26.0,Quindrelin Hammonds,,Sr.,DB,6-0,190.0,"Covington, GA / Alcovy (USMAPS)",,,
38,,26.0,Dallis Small,,So.,RB,5-8,203.0,"Lauderhill, FL / American Heritage High School (USMAPS)",,,
39,,27.0,Markel Johnson,,Jr.,RB,5-8,205.0,"Allenhurst, Ga / Liberty County (USMAPS)",,,
40,,28.0,Donavon Platt,,So.,DB,6-0,204.0,"Jamestown, N.C. / Lucy Ragsdale High School (USMAPS)",,,
41,,28.0,Gavin Shields,,So.,DB,6-2,205.0,"Pitman, N.J. / Red Lion Christian Academy (USMAPS)",,,
42,,29.0,Adam Cash,,Jr.,DB,5-11,217.0,"Arlington, Tx / Mansfield Timberview (USMAPS)",,,
43,,29.0,Zion Jackson,,So.,WR,6-0,185.0,"Loganville, GA / Archer High School (USMAPS)",,,
44,,30.0,Lucky Brooks,,Jr.,RB,5-10,215.0,"Lafayette, La / Acadiana (USMAPS)",,,
45,,30.0,Liam Fortner,,So.,WR,6-1,212.0,"Knoxville, TN / Central High School (USMAPS)",,,
46,,30.0,Collin Matteson,,So.,DB,6-0,175.0,"Edmond, OK / Oklahoma Christain School",,,
47,,31.0,Leo Lowin,,Sr.,LB,6-0,215.0,"Austin, Tx / Westlake",,,
48,,32.0,Tyson Riley,,Sr.,RB,6-2,255.0,"Mount Vernon, Mo / Springfield Catholic (USMAPS)",,,
49,,33.0,Jakobi Buchanan,,Sr.,RB,6-0,260.0,"St. Charles, Mo / Chaminade Prep (USMAPS)",,,
50,,36.0,Michael Cerniauskas,,Jr.,DB,-,,"Baton Rouge, La. / Catholic",,,
51,,37.0,Max DiDomenico,,Jr.,DB,6-0,215.0,"Schertz, Tx / Samuel Clemen",,,
52,,38.0,Noah Alexander,,So.,RB,5-10,175.0,"Eufaula, OK / Eufaula High (USMAPS)",,,
53,,38.0,Tyler Brennan,,Sr.,RB,5-11,202.0,"Pittsburgh, Pa. / North Hills HS (USMAPS)",,,
54,,39.0,Hamilton Baker,,Sr.,LB,6-1,215.0,"Daphne, Al / Daphne HS",,,
55,,39.0,John Javis IV,,So.,DB,5-9,175.0,"Columbia, S.C. / Spring Valley High School (USMAPS)",,,
56,,39.0,Hayden Reed,,So.,RB,6-0,226.0,"Tampa, FL / Gaither High School (USMAPS)",,,
57,,40.0,Jarel Dickson,,Jr.,RB,5-11,230.0,"Trenton, Tn / Peabody (USMAPS)",,,
58,,42.0,Clev Lubin,,So.,OLB,6-3,215.0,"Suffern, N.Y. / Suffern Senior High School (USMAPS)",,,
