,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Current School Name,Image,Title
0,,0.0,Ricardo Williams Jr.,DL,6-2,284.0,Jr.,"Jackson, Miss. / Provine/Mississippi Gulf Coast",Georgia State,,
1,,1.0,Jontrey Hunter,OLB,6-2,200.0,R-Sr.,"Tampa, Fla. / Sickles",Georgia State,,
2,,1.0,Robert Lewis,WR,5-11,185.0,R-Jr.,"Covington, Ga. / Newton",Georgia State,,
3,,2.0,Tavian Brown,ILB,6-1,225.0,R-Sr.,"Demopolis, Ala. / Demopolis/Colorado State",Georgia State,,
4,,3.0,Darren Grainger,QB,6-4,195.0,R-Sr.,"Conway, S.C. / Conway/Furman",Georgia State,,
5,,4.0,Bryson Harrison,QB,6-2,207.0,Fr.,"Roswell, Ga. / Lassiter",Georgia State,,
6,,4.0,D-Icey Hopkins,S,5-11,175.0,R-Fr.,"Macon, Ga. / Northeast",Georgia State,,
7,,5.0,Bryquice Brown,CB,6-0,186.0,R-Sr.,"Dorchester, Mass. / Lithia Springs (Ga.)",Georgia State,,
8,,6.0,Jeremiah Johnson,CB,5-11,185.0,Sr.,"Anguilla, Miss. / South Delta/Mississippi Delta CC",Georgia State,,
9,,6.0,Rykem Laney,WR,6-4,205.0,Sr.,"Spartanburg, S.C. / Spartanburg/Hutchinson (Kan.) CC",Georgia State,,
10,,7.0,Izaiah Guy,CB,6-2,196.0,R-Fr.,"Ocala, Fla. / Vanguard",Georgia State,,
11,,7.0,Braylen Ragland,QB,6-1,189.0,Fr.,"Memphis, Tenn. / Bartlett",Georgia State,,
12,,8.0,Ja'Cyais Credle,WR,6-4,202.0,Sr.,"Columbus, Ga. / Carver/UCF",Georgia State,,
13,,8.0,Javon Denis,DE,6-0,264.0,R-Sr.,"Deerfield Beach, Fla. / Deerfield Beach",Georgia State,,
14,,8.0,Jaquez Pennimon,S,6-0,185.0,R-Sr.,"Macon, Ga. / Southwest",Georgia State,,
15,,9.0,Jacari Carter,WR,5-9,165.0,Jr.,"Sayreville, N.J. / Sayreville East Coast Prep/Merrimack",Georgia State,,
16,,9.0,Kevin Swint,OLB,6-3,242.0,Sr.,"Carrollton, Ga. / Carrollton/Clemson",Georgia State,,
17,,10.0,Henry Bryant III,DL,6-0,282.0,R-So.,"Delray Beach, Fla. / Atlantic/Louisville",Georgia State,,
18,,10.0,Mikele Colasurdo,QB,6-1,215.0,R-Jr.,"Inman, S.C. / Chapman",Georgia State,,
19,,11.0,Chance Singleton,CB,6-2,180.0,R-Sr.,"Annapolis, Md. / New Town/Susquehanna",Georgia State,,
20,,11.0,Cadarrius Thompson,WR,6-3,193.0,R-Sr.,"Florence, Ala. / Florence",Georgia State,,
21,,12.0,Chris Smith,ILB,6-2,210.0,Sr.,"Dacula, Ga. / Dacula/Garden City (Kan.) CC",Georgia State,,
22,,13.0,Darius Bush,WR,5-10,185.0,R-So.,"Savannah, Ga. / Jenkins/UConn",Georgia State,,
23,,13.0,Isaiah Holland,S,6-0,180.0,R-Fr.,"Valdosta, Ga. / Valdosta",Georgia State,,
24,,15.0,Terrell Gordon,OLB,6-1,190.0,Sr.,"Phenix City, Ala. / Central",Georgia State,,
25,,15.0,Noah Ross,QB,6-1,195.0,R-Fr.,"Stockbridge, Ga. / Woodland",Georgia State,,
26,,16.0,Tailique Williams,WR,5-9,167.0,R-Jr.,"Pine Mountain, Ga. / Harris County",Georgia State,,
27,,17.0,KZ Adams,RB,5-8,175.0,R-Fr.,"West Columbia, S.C. / Gray Collegiate Academy",Georgia State,,
28,,17.0,Shamar McCollum,OLB,6-4,225.0,Sr.,"Hamer, S.C. / Dillon/Wake Forest",Georgia State,,
