,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Major,Previous School,Image,Name,Title
0,,0.0,Sam Lockett III,DB,6-1,204.0,R-Sr.,"Spokane, Wash. / Gonzaga Prep",Social Science,Utah State / City College of San Francisco,,,
1,,0.0,DT Sheffield,WR,5-10,172.0,Jr.,"Corinth, Miss. /",,NW Mississippi CC,,,
2,,1.0,Stephen Hall,DB,6-0,198.0,R-So.,"Memphis, Tenn. /",,NW Mississippi CC,,,
3,,1.0,Cameron Ward,QB,6-2,215.0,Jr.,"West Columbia, Texas / Columbia HS",Social Science,Incarnate Word,,,
4,,2.0,Chris Jackson,DB,6-0,195.0,R-Sr.,"Marietta, Ga. / Lassiter HS",Social Science,Michigan State,,,
5,,2.0,Kyle Williams,WR,6-1,187.0,Jr.,"Hawthorne, Calif. / St. Monica Catholic HS",,UNLV,,,
6,,4.0,Kapena Gushiken,DB,6-0,188.0,Jr.,"Pukalani, Hawaii /",,Saddleback College,,,
7,,4.0,Tsion Nunnally,WR,6-3,220.0,R-So.,"Santa Rosa, Calif. / Cardinal Newman HS",Undeclared,,,,
8,,5.0,Jamorri Colson,DB,6-0,172.0,R-So.,"Ocilla, Ga. /",,Iowa Western CC,,,
9,,5.0,Lincoln Victor,WR,5-9,180.0,Sr.,"Maui, Hawaii / Union HS (Wash.)",Human Development,Hawaii,,,
10,,6.0,Josh Kelly,WR,6-1,191.0,R-Jr.,"Fresno, Calif. / San Joaquin Memorial HS",,Fresno State,,,
11,,6.0,Chau Smith-Wade,DB,5-11,178.0,Jr.,"Denver, Colo. / Simeon Career Academy (Ill.)",Business,,,,
12,,8.0,Carlos Hernandez,WR,6-0,181.0,Fr.,"Alhambra, Calif. / Monrovia HS",,,,,
13,,8.0,Devin Richardson,LB,6-3,229.0,R-Sr.,"Klein, Texas /",,Texas,,,
14,,9.0,Isaiah Hamilton,WR,5-11,186.0,R-Sr.,"Baldwin Park, Calif. / Charter Oak HS",,San Jose State,,,
15,,9.0,Ahmad McCullough,LB,6-2,220.0,R-Sr.,"Baltimore, Md. / Mount Saint Joseph HS",,Maryland,,,
16,,10.0,John Mateer,QB,6-1,217.0,R-Fr.,"Little Elm, Texas / Little Elm HS",,,,,
17,,10.0,Ron Stone Jr.,EDGE,6-3,235.0,R-Sr.,"San Jose, Calif. / Valley Christian HS",Communications,,,,
18,,15.0,Nusi Malani,DL,6-4,277.0,Jr.,"San Bruno, Calif. / Junipero Serra HS",,Virginia,,,
19,,17.0,King Williams,DB,5-7,167.0,R-Fr.,"Fairfield, Calif. / Vanden HS",,,,,
20,,18.0,Taariq (Buddah) Al-Uqdah,LB,6-0,221.0,R-Fr.,"South Central Los Angeles, Calif. / City Honors College Prep",,,,,
21,,18.0,Emmett Brown,QB,5-10,187.0,R-Fr.,"San Marcos, Calif. / San Marcos HS",Communications,,,,
