,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Image,Name,Title
0,,1.0,Jamar Shegog,LB,6-2,230.0,R-Sr.,"Pittsburgh, Pa.",Robert Morris,Seton LaSalle,,,
1,,2.0,Julian Jordan,WR,6-1,220.0,Sr.,"Harrisburg, Pa.",Robert Morris,Bishop McDevitt,,,
2,,3.0,"Robert Carter, Jr.",DB,5-10,175.0,So.,"Ringgold, Va.",Robert Morris,Dan River,,,
3,,4.0,Kimon O'Sullivan,RB,5-11,178.0,Jr.,"Washington, D.C.",Robert Morris,Oxon Hill,,,
4,,5.0,Trenell Ridgley,WR,5-9,180.0,Jr.,"Santa Fe Springs, Calif.",Robert Morris,St. Paul,,,
5,,6.0,Cosey Scarebrook,S,6-0,185.0,So.,"Madison, Ala.",Robert Morris,Bob Jones,,,
6,,7.0,Dakarai Cabell,DB,6-1,190.0,Sr.,"Fort Lauderdale, Fla.",Robert Morris,Dillard,,,
7,,8.0,James Westry,WR,5-9,170.0,R-Jr.,"Newark, N.J.",Robert Morris,Hillside,,,
8,,8.0,Gregory Young II,DB,5-11,170.0,Gr.,"Clinton, Md.",Robert Morris,Suitland,,,
9,,9.0,DJ Moyer,RB,5-8,192.0,R-So.,"Winston-Salem, N.C.",Robert Morris,Reagan,,,
10,,10.0,Britton Pascoe,DB,5-10,190.0,Jr.,"Progess Village, Fla.",Robert Morris,Bloomingdale,,,
11,,11.0,Andre Cooper II,WR,6-5,205.0,R-Jr.,"Orlando, Fla.",Robert Morris,Lake Nona,,,
12,,12.0,Joe Casale,LB,6-2,230.0,R-Sr.,"Troy, N.Y.",Robert Morris,Troy,,,
13,,13.0,William Barber,DB,5-11,190.0,Jr.,"West Chester, Ohio",Robert Morris,Lakota West,,,
14,,14.0,Noah Robinson,WR,6-3,190.0,R-So.,"Mineral, Va.",Robert Morris,Louisa County,,,
15,,15.0,Dee Pierce,S,6-0,205.0,R-So.,"Chicago, Ill.",Robert Morris,Phillips Academy,,,
16,,16.0,Anthony Chiccitt,QB,6-2,185.0,Sr.,"Bethel Park, Pa.",Robert Morris,Bethel Park,,,
17,,17.0,Zach Tanner,QB,6-2,180.0,So.,"Winter Haven, Fla.",Robert Morris,Auburndale,,,
18,,18.0,Tyler Szalkowski,QB,6-2,225.0,R-So.,"Rochester, N.Y.",Robert Morris,Aquinas Institute,,,
19,,19.0,Day Day Jones,WR,5-10,188.0,Sr.,"Lancaster, Calif.",Robert Morris,Quartz Hill,,,
20,,20.0,Travell Cook,S,6-0,185.0,R-Sr.,"Miami, Fla.",Robert Morris,Carol City,,,
21,,22.0,Zachary Bair,RB,5-10,205.0,Gr.,"Rumson, N.J.",Robert Morris,Red Bank Catholic,,,
22,,23.0,Nate Garnett,WR,5-9,170.0,So.,"Auburndale, Fla.",Robert Morris,Auburndale,,,
23,,24.0,Robert Dickerson,WR,6-0,195.0,So.,"Pittsburgh, Pa.",Robert Morris,North Hills,,,
24,,25.0,De'Mere White,RB,5-7,175.0,Jr.,"Bloomfield, N.J.",Robert Morris,DePaul Catholic,,,
25,,26.0,Shakespeare Louis,DB,6-1,205.0,Jr.,"Ottawa, Ontario",Robert Morris,Clearwater Academy (Fla.),,,
26,,27.0,Parker Fetterman,WR,5-8,160.0,Sr.,"Findlay, Ohio",Robert Morris,Findlay,,,
27,,28.0,Tony Brown,LB,6-3,200.0,R-Sr.,"Sicklerville, N.J.",Robert Morris,Timber Creek,,,
28,,29.0,Jermarian Jackson,CB,6-2,175.0,So.,"Plant City, Fla.",Robert Morris,Plant City,,,
29,,30.0,Seth Verilus,LB,6-1,210.0,Gr.,"Riviera Beach, Fla.",Robert Morris,Dwyer,,,
