,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Current School Name,Previous School,Image,Title
0,,0.0,DaeSean Winston,S,6-1,200.0,Gr.,"Abingdon, Md. / Archbishop Spalding",Albany,Temple,,
1,,1.0,Aamir Hall,CB,6-1,200.0,Jr.,"Baltimore, Md. / Mount St. Joeseph",Albany,Richmond,,
2,,1.0,Julian Hicks,WR,6-2,202.0,Gr.,"Cleveland, Ohio / Mayfield",Albany,University of Akron/Central Michigan University,,
3,,2.0,Roy Alexander,WR,5-10,191.0,Jr.,"Fort Myers, Fla. / Riverdale",Albany,,,
4,,3.0,Brad Igweike,DB,5-8,173.0,So.,"Guilderland, N.Y. / Guilderland",Albany,,,
5,,4.0,Anton Juncaj,DE,6-4,263.0,Jr.,"Port Jervis, N.Y. / Minisink HS",Albany,Southern Connecticut/Nassau JC,,
6,,5.0,Christian Lewis,DB,5-11,200.0,So.,"Farrell, Pa. / Farrell",Albany,,,
7,,6.0,Tyler Pastula,K/P,6-3,234.0,Jr.,"Easton, Pa. / Easton HS",Albany,Delaware,,
8,,7.0,Reese Poffenbarger,QB,6-0,210.0,Fr.,"Middletown, Md. / Middletown HS",Albany,Old Dominion,,
9,,7.0,Larry Walker Jr.,DB,5-11,197.0,Jr.,"Aliquippa, Pa. / Aliquippa",Albany,,,
10,,8.0,AJ Simon,DL,6-1,264.0,Jr.,"Tobyhanna, Pa. / Pocono Mountain West",Albany,Bloomsburg,,
11,,8.0,Levi Wentz,WR,6-2,200.0,So.,"Valencia, Pa. / Pine-Richland",Albany,Old Dominion,,
12,,9.0,Landon Alexander,RB,6-0,195.0,Fr.,"Aliquippa, Pa. / Central Valley HS",Albany,,,
13,,9.0,Michel Lucien,LB,6-0,235.0,Jr.,"Union, N.J. / Union",Albany,Monroe College,,
14,,10.0,Jackson Parker,WR,6-1,192.0,So.,"Kingston, N.Y. / Cheshire Academy",Albany,,,
15,,11.0,Lasalle Rose Jr.,WR,5-9,176.0,Fr.,"Waldorf, Md. / Rock Creek Christian",Albany,,,
16,,12.0,Trey Lindsey,QB,6-1,200.0,Sr.,"Montgomery, Ala. /",Albany,Auburn,,
17,,13.0,Brevin Easton,WR,5-11,192.0,Jr.,"Severn, Md. / Archbishop Spalding",Albany,Assumption,,
18,,14.0,Kevon Angry,DB,5-9,185.0,Jr.,"Powder Springs, Ga. / McEachern",Albany,Butler CC/Western Carolina,,
19,,14.0,Joe Tortello,QB,5-10,181.0,Fr.,"Albany, N.Y. / Notre Dame-Bishop Gibbons",Albany,,,
