,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Current School Name,Name,Title
0,,,Kam Bizor,DE,6-3,Fr.,"Houston, Texas / C.E. King HS",,Arkansas Pine Bluff,,
1,,,Deuce Cooper,DB,5-11,Fr.,"Fayetteville, Arkansas / Fayetteville HS",,Arkansas Pine Bluff,,
2,,,BJ Curry,RB,5-10,Fr.,"Magnolia, Arkansas / Magnolia HS",,Arkansas Pine Bluff,,
3,,,Nassir Donohoo,QB/ATH,6-2,Fr.,"Quitman, Arkansas / Quitman HS",,Arkansas Pine Bluff,,
4,,,Elijah Hardin,OL,6-7,Fr.,"Forrest City, Arkansas / Forrest City HS",,Arkansas Pine Bluff,,
0,,,,,,,,,Arkansas Pine Bluff,Alonzo Hampton,Head Coach
1,,,,,,,,,Arkansas Pine Bluff,Bobby Acosta,Offensive Coordinator/Quarterbacks
2,,,,,,,,,Arkansas Pine Bluff,Kendrick Nord,Wide Receivers
3,,,,,,,,,Arkansas Pine Bluff,Ben Wilkerson,Running Backs
4,,,,,,,,,Arkansas Pine Bluff,David Calloway,Defensive Coordinator/ Defensive Line
5,,,,,,,,,Arkansas Pine Bluff,Jake Bahr,Linebackers
6,,,,,,,,,Arkansas Pine Bluff,Jeff Burrow,Defensive Backs
7,,,,,,,,,Arkansas Pine Bluff,Kyle Kramer,Special Coordinator/ Tight End Coach
8,,,,,,,,,Arkansas Pine Bluff,Steve Wallace,Offensive Line Coach
