,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School
0,,0.0,James Burns,WR,5-8,155.0,R-So.,"Charlotte, N.C. / Rocky River HS",Austin Peay State,Miami University
1,,0.0,Devin Smith,DB,5-11,179.0,Gr.,"Kennesaw, Ga. / Harrison HS",Austin Peay State,Georgia Tech
2,,1.0,Trey Goodman,WR,5-11,173.0,So.,"Atlanta, Ga. / Norcross HS",Austin Peay State,
3,,1.0,Kam Ruffin,DB,6-2,212.0,Gr.,"Clinton, Miss. / Clinton HS",Austin Peay State,Ole Miss
4,,2.0,Demetries Ford,DB,5-8,170.0,Sr.,"South Miami, Fla. / Christopher Columbus HS",Austin Peay State,Youngstown State
5,,2.0,Sheldon Layman,QB,6-0,183.0,R-Jr.,"Mobile, Ala. / McGill-Toolen Catholic HS",Austin Peay State,Memphis
6,,3.0,Josh Samuel,RB,5-10,212.0,Gr.,"Greenville, S.C. / Central Gwinnett HS",Austin Peay State,Jacksonville State
7,,3.0,Jau'Von Young,DL,6-2,271.0,Sr.,"Nashville, Tenn. / Republic HS",Austin Peay State,
8,,4.0,Sam Howard,LB,6-0,219.0,Jr.,"Birmingham, Ala. / Shades Valley HS",Austin Peay State,
9,,4.0,Tre Shackelford,WR,6-0,192.0,R-Fr.,"Decatur, Ala. / Austin HS",Austin Peay State,
10,,5.0,CJ Evans Jr.,RB,5-7,177.0,Jr.,"Mobile, Ala. / McGill-Toolen HS",Austin Peay State,
11,,5.0,Josh Rudolph,LB,5-11,230.0,So.,"Montgomery, Ala. / Park Crossing HS",Austin Peay State,
12,,6.0,Gerard Bullock,QB,6-1,199.0,R-So.,"Mount Juliet, Tenn. / Ensworth HS",Austin Peay State,Dayton
13,,6.0,Kory Chapman,DB,5-11,185.0,Jr.,"Hoover, Ala. / Hoover HS",Austin Peay State,
14,,7.0,Brandon Lanier,TE,6-2,230.0,Jr.,"Cincinnati, Ohio / Mount Healthy HS",Austin Peay State,
15,,7.0,Aaron Odom,DL,6-3,284.0,Gr.,"Jackson, Miss. / Callaway HS",Austin Peay State,Mississippi State
16,,8.0,Shamari Simmons,DB,6-0,180.0,R-Jr.,"Ashland, Ala. / Clay Central HS",Austin Peay State,Hutchinson CC (Kan.)
17,,8.0,Kam Thomas,WR,5-7,171.0,R-Fr.,"Birmingham, Ala. / Ramsay HS",Austin Peay State,
18,,9.0,Skyler Locklear,QB,5-10,189.0,Fr.,"Clayton, N.C. / Cleveland HS",Austin Peay State,
19,,9.0,Kwame Sutton,DL,6-0,233.0,Gr.,"Gaffney, S.C. / Blacksburg HS",Austin Peay State,
20,,10.0,Drae McCray,WR,5-9,177.0,So.,"Tallahassee, Fla. / North Florida Christian School",Austin Peay State,
