,Statistic,No.,Name,Cl.,Pos.,Ht.,Wt.,Exp.,Current School Name,Hometown / High School,College,Image,Title
0,,0.0,Zedakiah Centers,R-Jr.,WR,5-10,180.0,2V,Cal Poly State,"Anaheim, CA / Servite HS",,,
1,,0.0,Dylan Wyatt,Gr.,DB,6-1,185.0,2V,Cal Poly State,"Oakland, CA / Saint Mary's HS",Illinois,,
2,,1.0,Kahliq Paulette,R-So.,CB,6-1,175.0,1V,Cal Poly State,"Converse, TX / Veterans Memorial HS",,,
3,,2.0,Giancarlo Woods,R-Jr.,WR,6-2,198.0,2V,Cal Poly State,"Santa Rosa, CA / Cardinal Newman HS",,,
4,,3.0,Ethan Calvert,R-So.,LB,6-6,220.0,TR,Cal Poly State,"Westlake Village, CA / Oaks Christian HS",Utah,,
5,,4.0,Mark Biggins,R-Sr.,RB,5-10,205.0,2V,Cal Poly State,"Bayview, CA / St. Ignatius HS",,,
6,,5.0,Je'kob Jones,R-So.,LB,5-10,215.0,1V,Cal Poly State,"Fresno, CA / Central HS",,,
7,,5.0,Jake Woods,R-So.,WR,6-5,210.0,1V,Cal Poly State,"Santa Rosa, CA / Cardinal Newman HS",Northern Arizona,,
8,,6.0,Xavier Oliphant,R-Jr.,CB,5-10,175.0,2V,Cal Poly State,"Danville, CA / Monte Vista HS",,,
9,,7.0,Sam Huard,R-So.,QB,6-2,193.0,TR,Cal Poly State,"Bellevue, WA / Kennedy Catholic HS",Washington,,
10,,8.0,Shakobe Harper,R-Sr.,RB,5-7,190.0,2V,Cal Poly State,"Long Beach, CA / Mater Dei HS",,,
11,,9.0,Evan Burkhart,R-Jr.,WR,5-10,185.0,2V,Cal Poly State,"Bakersfield, CA / Stockdale HS",Arizona State,,
12,,9.0,Brian Dukes,So.,S,6-4,194.0,1V,Cal Poly State,"Spring Valley, CA / Mater Dei Catholic HS",,,
13,,10.0,Michael Briscoe,R-So.,WR,6-2,195.0,SQ,Cal Poly State,"Vacaville, CA / Vacaville HS",,,
14,,10.0,David Meyer,R-Jr.,LB,6-1,210.0,2V,Cal Poly State,"Mission Viejo, CA / Mission Viejo HS",,,
15,,11.0,Jaden Jones,R-So.,QB,6-0,190.0,1V,Cal Poly State,"Oxnard, CA / Oxnard HS",,,
16,,12.0,Makhi Johnson,R-Fr.,WR,6-2,190.0,RS,Cal Poly State,"Lower Lake, CA / Windsor HS",,,
17,,12.0,Donovan Saunders,So.,CB,6-3,180.0,1V,Cal Poly State,"San Diego, CA / Cathedral Catholic HS",,,
18,,13.0,Spencer Brasch,R-Sr.,QB,6-4,205.0,2V,Cal Poly State,"Gilbert, AZ / Higley HS",California,,
19,,14.0,Jackson Pavitt,R-Jr.,QB,6-2,190.0,SQ,Cal Poly State,"Calistoga, CA / Cardinal Newman HS",,,
