,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Current School Name,Name,Title
0,,3.0,Anthony Stell Jr.,WR,5-10,R-Sr.,"Seattle, Wash. / Rainier Beach HS '18",,Eastern Washington,,
1,,4.0,Anthany Smith,S,5-11,R-Sr.,"Everett, Wash. / Mariner HS '17",,Eastern Washington,,
2,,8.0,Darrien Sampson,CB,6-0,R-Sr.,"South Seattle, Wash. / Rainier Beach HS '18",,Eastern Washington,,
3,,9.0,Robert Mason III,WR,6-1,R-Sr.,"Graham, Wash. / Graham-Kapowsin HS '18 / Central Washington Univ.",,Eastern Washington,,
4,,10.0,Josh Johnson,WR,6-2,R-So.,"San Pedro, Calif. / San Pedro HS '21",,Eastern Washington,,
5,,11.0,Jakobie James,WR,6-1,R-Sr.,"Redlands, Calif. / Redlands HS '19",,Eastern Washington,,
6,,12.0,Wesley Garrett,WR,5-11,R-Fr.,"Mukilteo, Wash. / Kamiak HS '22",,Eastern Washington,,
7,,13.0,LeAndre Gaines,DE,6-3,R-Jr.,"Chehalis, Wash. / W.F. West HS '20",,Eastern Washington,,
8,,13.0,Michael Wortham,QB,5-9,Jr.,"North Highlands, Calif. / Center HS / Sierra College",,Eastern Washington,,
9,,14.0,Jackson Cleaver,P,6-2,R-Jr.,"Tigard, Ore. / Tigard HS '20",,Eastern Washington,,
10,,15.0,Jared Taylor,QB,6-0,Jr.,"Stanwood, Wash. / Lakewood HS / Feather River CC",,Eastern Washington,,
11,,16.0,Kekoa Visperas,QB,6-0,R-So.,"Spanaway, Wash. / Bethel HS '21",,Eastern Washington,,
12,,16.0,Miles Williams,WR,6-0,R-Fr.,"Happy Valley, Ore. / Clackamas HS '22",,Eastern Washington,,
13,,17.0,Nolan Ulm,WR,6-2,Jr.,"Kelowna, B.C. / Kelowna Secondary HS '20",,Eastern Washington,,
14,,18.0,Jaelin Green,WR,6-5,R-Fr.,"South Seattle, Wash. / Rainier Beach HS '22",,Eastern Washington,,
15,,19.0,Isaiah Lewis,RB,6-0,R-Sr.,"Monroe, Wash. / Monroe HS '18",,Eastern Washington,,
16,,20.0,Marlon Jones Jr.,CB,6-0,R-Sr.,"Tacoma, Wash. / Curtis HS '19",,Eastern Washington,,
17,,22.0,Justice Jackson,RB,5-11,Jr.,"Antioch, Calif. / Liberty HS '20",,Eastern Washington,,
18,,23.0,Micah Smith,RB,6-0,R-Sr.,"Spanaway, Wash. / Graham-Kapowsin HS '18",,Eastern Washington,,
19,,26.0,Soren McKee,K/P,5-11,R-Fr.,"Bend, Ore. / Summit HS '22",,Eastern Washington,,
20,,27.0,DaJean Wells,CB,5-11,R-So.,"Seattle, Wash. / Ballard HS '20",,Eastern Washington,,
21,,28.0,Drew Carter,S,6-2,R-Fr.,"Lake Stevens, Wash. / Lake Stevens HS '22",,Eastern Washington,,
22,,29.0,Cage Schenck,CB,5-9,Jr.,"Woodinville, Wash. / Woodinville HS '20",,Eastern Washington,,
23,,30.0,Talon Betts,RB,6-2,R-Fr.,"Rochester, Wash. / Rochester HS '22",,Eastern Washington,,
24,,30.0,Joseph Obeto,CB,5-10,R-So.,"Covina, Calif. / Charter Oak HS '21",,Eastern Washington,,
25,,31.0,Demetrius Crosby Jr.,CB,6-0,R-Sr.,"Tacoma, Wash. / Foss HS '18",,Eastern Washington,,
26,,32.0,Tuna Altahir,RB,6-0,R-So.,"Kennewick, Wash. / Kamiakin HS '21",,Eastern Washington,,
27,,33.0,Derek Tommasini,LB,6-0,Jr.,"Eagle, Idaho / Eagle HS '20",,Eastern Washington,,
28,,34.0,Kentrell Williams Jr.,S,5-10,R-So.,"Chandler, Ariz. / Chandler HS '21",,Eastern Washington,,
29,,35.0,Woodley Downard,WR,6-1,R-So.,"Kennewick, Wash. / Kamiakin HS '21",,Eastern Washington,,
30,,35.0,Amani Pressley,CB,6-1,R-Fr.,"Sacramento, Calif. / Inderkum HS '22",,Eastern Washington,,
31,,36.0,Nick Adimora,RB,5-11,R-Fr.,"Long Beach, Calif. / Mayfair HS '22",,Eastern Washington,,
32,,36.0,Alphonse Oywak,S,6-1,R-Jr.,"Covington, Wash. / Kentwood HS '20",,Eastern Washington,,
33,,37.0,Zane Thornton,S,6-0,R-Jr.,"Burien, Wash. / Kennedy Catholic HS '20",,Eastern Washington,,
34,,38.0,Armani Orange,S,6-0,R-So.,"Moreno Valley, Calif. / Rancho Verde HS '21",,Eastern Washington,,
35,,39.0,Bishop Blakely,LB,-,R-Fr.,/,,Eastern Washington,,
36,,39.0,Austin York,TE,6-2,R-Jr.,"Chico, Calif. / Pleasant Valley HS '20",,Eastern Washington,,
37,,40.0,Amdane Aboudou,CB,-,R-Fr.,/,,Eastern Washington,,
38,,41.0,Deonte Hayes,CB,-,R-Fr.,/,,Eastern Washington,,
39,,42.0,Trevion Shadrick-Harris,S,6-1,R-Sr.,"Stockton, Calif. / Sierra College / UCF",,Eastern Washington,,
40,,43.0,Brandon Montoya,RB,5-10,R-Jr.,"Wishram, Wash. / Lyle/Wishram HS '20",,Eastern Washington,,
41,,44.0,Brock Harrison,DE,6-3,R-Sr.,"Ridgefield, Wash. / Ridgefield HS '19",,Eastern Washington,,
42,,45.0,Davante Smith,RB,5-10,R-So.,"Ventura, Calif. / Pacifica HS '21",,Eastern Washington,,
43,,46.0,Conner O'Farrell,LB,6-0,Jr.,"Anchorage, Alaska / Service HS '20",,Eastern Washington,,
44,,48.0,Trevor Thurman,LB,6-3,Jr.,"Kenmore, Wash. / Inglemoor HS '20",,Eastern Washington,,
45,,49.0,Nick Kokich,P,6-2,Sr.,"Tacoma, Wash. / Bellarmine Prep HS '19",,Eastern Washington,,
46,,52.0,Elijah Rodriguez,LB,6-1,R-Fr.,"Richland, Wash. / Richland HS '22",,Eastern Washington,,
47,,53.0,Shane Aleaga,LB,6-1,R-So.,"Burien, Wash. / Kennedy Catholic HS '21",,Eastern Washington,,
48,,54.0,Jaren Banks,LB,6-0,R-Sr.,"Junction City, Ore. / Sheldon HS '18",,Eastern Washington,,
49,,56.0,Mason Buttel-Strong,OL,6-4,Jr.,"Hauula, Hawaii / Green Valley HS / Butte College",,Eastern Washington,,
50,,57.0,Luke Dahlgren,OL,6-3,R-Sr.,"Forks, Wash. / Forks HS '19",,Eastern Washington,,
51,,58.0,Ahmani Williams,LB,6-0,R-Jr.,"Vancouver, Wash. / Skyview HS '20",,Eastern Washington,,
52,,59.0,Robert Cooper,OL,6-3,R-Jr.,"Spanaway, Wash. / Bethel HS '20 / Boise State",,Eastern Washington,,
53,,59.0,Myles Mayovsky,LB,6-1,R-Fr.,"Kennewick, Wash. / Kennewick HS '22",,Eastern Washington,,
54,,60.0,Jackson Plieth,LS,6-0,R-Fr.,"Vancouver, Wash. / Union HS '22",,Eastern Washington,,
55,,61.0,Wyatt Hansen,OL,6-5,Jr.,"Kent, Wash. / Kentwood HS '20",,Eastern Washington,,
56,,62.0,Aaron Estrada,LS,5-11,R-Jr.,"Strathmore, Calif. / Strathmore HS '20",,Eastern Washington,,
57,,63.0,Mason Ahlemeyer,DT,6-3,Fr.,"Sammamish, Wash. / Skyline HS / Sacramento City College",,Eastern Washington,,
58,,64.0,Brenden Rivera,OL,6-2,Jr.,"Gig Harbor, Wash. / Gig Harbor HS '20",,Eastern Washington,,
59,,65.0,Ben Voigtlaender,DE,6-3,R-Fr.,"Spokane, Wash. / Mead HS '20",,Eastern Washington,,
60,,66.0,Gale Kamp,OL,6-3,R-Jr.,"North Bend, Wash. / Mount Si HS '20",,Eastern Washington,,
61,,68.0,Seth Carnahan,OL,6-6,R-Sr.,"Sumner, Wash. / Sumner HS '17",,Eastern Washington,,
62,,70.0,Matthew Hewa Baddege,OL,6-7,R-Sr.,"Port Coquitlam, B.C. / Terry Fox Secondary '19",,Eastern Washington,,
63,,74.0,Bret Fullington,OL,6-6,R-Fr.,"Issaquah, Wash. / Liberty HS '22",,Eastern Washington,,
64,,75.0,Jack Seelye,OL,6-1,Jr.,"Walnut Creek, Calif. / Liberty HS / Diablo Valley College",,Eastern Washington,,
65,,76.0,Kevin Eldredge,OL,6-5,R-Sr.,"Meridian, Idaho / Mountain View HS / Idaho",,Eastern Washington,,
66,,78.0,Justis La'ulu,OL,6-3,R-Fr.,American Samoa / Vista Ridga (Colo.) HS '22,,Eastern Washington,,
67,,79.0,Dylan Conner,OL,6-5,R-Fr.,"Orange, Calif. / El Modena HS '22",,Eastern Washington,,
68,,80.0,Messiah Jones,TE,6-6,R-So.,"Kennewick, Wash. / Kamiakin HS '21",,Eastern Washington,,
69,,81.0,Riley Rudolfo,WR,-,Jr.,/,,Eastern Washington,,
70,,82.0,Blake Gobel,TE,6-6,R-Sr.,"Banks, Ore. / Banks HS '19",,Eastern Washington,,
71,,83.0,JP Murphy,TE,6-4,R-So.,"Danville, Calif. / San Ramon Valley HS / San Diego State",,Eastern Washington,,
72,,85.0,Jett Carpenter,TE,6-4,R-Jr.,"Medford, Ore. / North Medford HS '20",,Eastern Washington,,
73,,87.0,Malaki Roberson,WR,5-10,R-So.,"Graham, Wash. / Graham-Kapowsin HS '20",,Eastern Washington,,
74,,88.0,Isaiah Howard,WR,6-2,R-So.,"Fresno, Calif. / Clovis West HS '21",,Eastern Washington,,
75,,89.0,Efton Chism III,WR,6-0,Jr.,"Monroe, Wash. / Monroe HS '20",,Eastern Washington,,
76,,90.0,Matthew Brown,DT,6-2,Jr.,"Hoquiam, Wash. / Hoquiam HS '20",,Eastern Washington,,
77,,92.0,Chris Johnson,TE,6-4,R-Sr.,"Sammamish, Wash. / Skyline HS '19",,Eastern Washington,,
78,,94.0,Jacolby Cochran,WR,-,R-Fr.,/,,Eastern Washington,,
79,,94.0,Sandrey Mitberg,DE,6-3,R-Jr.,"Beaverton, Ore. / Beaverton HS '20",,Eastern Washington,,
80,,95.0,Gabriel Johnson,DE,6-4,R-So.,"Bothell, Wash. / Bothell HS '21",,Eastern Washington,,
81,,95.0,Jordan Sands,WR,6-3,R-Fr.,"Mead, Wash. / Mt. Spokane HS '22",,Eastern Washington,,
82,,96.0,Jacob Newsom,DT,6-3,R-Sr.,"Colville, Wash. / Colville HS '19",,Eastern Washington,,
83,,97.0,Tariq May,TE,6-3,R-Fr.,"Baltimore, M.D. / Bellarmine Prep (Wash.) '22",,Eastern Washington,,
0,,,,,,,,,Eastern Washington,Aaron Best,Head Coach
1,,,,,,,,,Eastern Washington,Jim Chapin,Offensive Coordinator / Quarterbacks Coach
2,,,,,,,,,Eastern Washington,Jeff Copp,Defensive Coordinator
3,,,,,,,,,Eastern Washington,Marc Anderson,Associate Head Coach / Tight Ends / Recruiting Coordinator
4,,,,,,,,,Eastern Washington,Zach Bruce,Safeties Coach / Defensive Pass Game Coordinator
5,,,,,,,,,Eastern Washington,Brandon Johnson-Farrell,Running Backs Coach
6,,,,,,,,,Eastern Washington,Hayden Mace,Offensive Line Coach
7,,,,,,,,,Eastern Washington,Jeff McDaniels,Wide Receivers Coach
8,,,,,,,,,Eastern Washington,Wes Nurse,Cornerbacks Coach
9,,,,,,,,,Eastern Washington,Eric Sanders,Linebackers Coach / Defensive Run Game Coordinator
10,,,,,,,,,Eastern Washington,Matt Ulrich,Defensive Line Coach
0,,,,,,,,,Eastern Washington,Ryan Groneman,Director of Athletic Performance (Football)
1,,,,,,,,,Eastern Washington,Jake Rasmussen,Director of Football Operations
