,Statistic,#,Name,CL.,Pos.,Ht.,Wt.,Hometown,Current School Name,Previous School,Image,Title
0,,0.0,Michael Crawford 1,R-Jr.,DB,6-0,185.0,"Philadelphia, PA",Hampton,Lackawanna JC,,
1,,1.0,Christopher Zellous 1,R-Fr.,QB,6-3,220.0,"Greensboro, N.C.",Hampton,Grimsley HS,,
2,,2.0,Kevin Johnson 0,R-So.,WR,6-0,175.0,"Suffolk, VA",Hampton,Norfolk State,,
3,,3.0,Stanley Garner 1,R-Jr.,DB,6-2,185.0,"Ft. Lauderdale, Fla.",Hampton,University of Kentucky,,
4,,4.0,Qwahsin Townsel 0,Gr.,LB,6-0,225.0,"Egg Harbor, NJ",Hampton,Villanova University,,
5,,5.0,Elijah Burris 1,So.,RB,5-10,205.0,"Gastonia, N.C.",Hampton,Mountain Island Charter HS,,
6,,6.0,Brian Roberts 0,Sr.,DB,6-1,195.0,"Jacksonville, FL",Hampton,Savannah St. / UMass,,
7,,7.0,Malcolm Mays 0,Jr.,QB,6-5,195.0,"Arlington, TX",Hampton,Kilgore CC,,
8,,8.0,Robert Prunty Jr 4,Gr.,DB,6-0,195.0,"Greensboro, NC",Hampton,J.H. Rose HS,,
9,,9.0,Kymari Gray 0,Fr.,WR,6-2,185.0,"Hampton, VA",Hampton,Phoebus High,,
10,,10.0,Ali Shockley 1,R-Sr.,DB,5-11,185.0,"Rock Hill, SC",Hampton,Ellsworth JC,,
11,,11.0,Romon Copeland 1,So.,WR,5-9,165.0,"Chesapeake, VA",Hampton,Oscar Smith HS,,
12,,12.0,Sofian Massoud 0,R-So.,QB,6-1,185.0,"Harlem, NY",Hampton,University of Houston,,
13,,13.0,Trent Cloud 1,Gr.,WR,6-0,180.0,"Cleveland, OH",Hampton,University of Cincinnati,,
14,,14.0,Armand Vinson 1,R-Fr.,WR,6-4,180.0,"Ahoskie, N.C.",Hampton,Hertford County HS,,
15,,15.0,KeShaun Moore 1,R-Sr.,DL,6-3,240.0,"Suffolk, VA",Hampton,Lackawanna JC,,
16,,16.0,Tyler Thompson 1,So.,WR,6-0,170.0,"Newport News, Va.",Hampton,Woodside HS,,
17,,18.0,Ahmad Ross 0,Fr.,LB,6-2,225.0,"Hammonton, NJ",Hampton,St. Joseph,,
18,,19.0,Byron Perkins 1,R-Jr.,DB,6-3,190.0,"Chicago, IL",Hampton,Purdue University,,
19,,20.0,Adam Akins 1,R-Fr.,DB,6-0,185.0,"Whitsett, N.C.",Hampton,Southeast Guilford HS,,
20,,21.0,Stafford Everett 0,Jr.,DB,5-11,195.0,"North Beach, Miami",Hampton,Asa-Miami JC,,
21,,22.0,Darran Butts 3,R-Jr.,RB,5-10,185.0,"Suffolk, VA",Hampton,King's Fork HS,,
22,,23.0,Justin Dingle 3,Jr.,LB,6-2,220.0,"Columbia, SC",Hampton,Dreher HS,,
23,,24.0,Devonta Davis 3,Sr.,DB,6-0,190.0,"Tarboro, NC",Hampton,Louisburg JC,,
24,,25.0,Malik Matthew 0,Fr.,LB,6-3,208.0,"Bronx, NY",Hampton,Syracuse,,
25,,26.0,Joshua Plush 0,Fr.,DB,6-0,180.0,"Columbia, SC",Hampton,Ben Lippen,,
26,,27.0,Devin Whitaker 0,Gr.,DB,5-10,170.0,"Manassas, VA",Hampton,St. Francis University,,
27,,28.0,Corey Wilson 1,So.,DB,6-1,195.0,"Hampton, VA",Hampton,Phoebus HS,,
28,,29.0,Cam Sturdifen 0,Fr.,DB,6-2,185.0,"Richmond, VA",Hampton,Manchester HS,,
29,,30.0,Messiah Russell 0,R-Fr.,DB,6-2,190.0,"Newport News, VA",Hampton,James Madison University,,
30,,31.0,Ja'Quan Snipes 1,So.,RB,6-0,215.0,"Asheboro, N.C.",Hampton,Randleman HS,,
31,,32.0,Keyondre White 1,R-Jr.,RB,5-11,230.0,"Fort Lauderdale, FL",Hampton,University of Akron,,
32,,33.0,Bryce Jamison 0,So.,DB,6-1,180.0,"Columbia, MD",Hampton,University of Dayton,,
33,,34.0,Brandon Murphy 0,R-So.,DB,5-11,200.0,"Altamonte Spring, FL",Hampton,Chowan University,,
34,,35.0,Tymere Robinson 1,So.,RB,5-11,220.0,"Hackensack, N.J.",Hampton,Hackensack HS,,
35,,36.0,Axel Perez 1,Sr.,SPEC,6-1,180.0,"Gardenia, Calif.",Hampton,Los Angeles Harbor College,,
36,,37.0,Brian Csehoski 0,Fr.,SPEC,5-10,170.0,"Aldie, VA",Hampton,John Champe HS,,
37,,38.0,Ethan Cadogan 3,R-Sr.,DB,6-2,190.0,"Columbia, MD",Hampton,Long Reach HS,,
