,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Current School Name,Previous School,Image,Name,Title
0,,2.0,Zayteak McGhee,DB,5-10,185.0,Jr.,"Allen, Texas /",Murray State,Trinity Valley CC,,,
1,,2.0,DJ Williams,QB,6-3,211.0,R-Jr.,"Harvey, Ill. / Thornton HS",Murray State,,,,
2,,3.0,Golden Eke,WR,6-1,190.0,R-Sr.,"Houston, Texas / Langham Creek HS",Murray State,Louisiana,,,
3,,4.0,Cortezz Jones,RB,5-11,239.0,R-Jr.,"Rocky Mount, N.C. / Southwest Edgecombe HS",Murray State,,,,
4,,4.0,Corey Martin,DL,6-1,245.0,Jr.,"Gardena, Calif. / Serra HS",Murray State,Long Beach CC,,,
5,,5.0,Ryan Batsch,OLB,6-3,224.0,Gr.,"Loveland, Ohio / Loveland HS",Murray State,Ohio St.,,,
6,,5.0,Isaac McNamee,QB,6-3,232.0,So.,"Pikeville, Ky. / Pikeville HS",Murray State,,,,
7,,6.0,Dylan Appleton,DB,5-10,200.0,R-Jr.,"East St. Louis, Ill. / East St. Louis HS",Murray State,,,,
8,,7.0,Josh Calvin,QB,6-5,225.0,Jr.,"Corona, Calif. / Mayfair HS",Murray State,Fullerton College,,,
9,,7.0,"Chris Hill, Jr.",OLB,6-1,212.0,R-Jr.,"Coral Springs, Fla. / Coral Springs HS",Murray State,,,,
10,,8.0,Jamari Dailey,OLB,6-0,185.0,R-Jr.,"Pinson, Ala. / Pinson Valley HS",Murray State,,,,
11,,8.0,Jayden Stinson,QB,6-0,214.0,R-Jr.,"Mayfield, Ky. / Mayfield HS",Murray State,,,,
12,,9.0,Lawaun Powell,ILB,6-0,227.0,R-Jr.,"East St. Louis, Ill. / East St. Louis HS",Murray State,,,,
13,,12.0,Justus Johnson,DB,6-1,175.0,So.,"St. Louis, Mo. / Christian Brothers College HS",Murray State,,,,
14,,13.0,KaVan Reed,DB,6-2,200.0,Jr.,"East St. Louis, Ill. / East St. Louis HS",Murray State,Mo. Southern St.,,,
15,,14.0,Michael Fox,WR,6-0,175.0,R-Sr.,"Orlando, Fla. / Dr. Philips HS",Murray State,NC State,,,
16,,14.0,Cayvian Holmes,DB,5-11,190.0,R-Sr.,"Apopka, Fla. / Apopka HS",Murray State,Rhode Island,,,
17,,16.0,Deshun Britten,WR,5-8,171.0,R-Jr.,"Chicago, Ill. / Morgan Park HS",Murray State,,,,
18,,17.0,Jacob Bell,WR,6-3,185.0,R-Sr.,"Vero Beach, Fla. / Vero Beach HS",Murray State,,,,
19,,18.0,Taylor Shields,WR,6-0,190.0,R-Jr.,"Brownsville, Tenn. / Haywood HS",Murray State,,,,
20,,19.0,Quindarrius Mayes,WR,6-2,205.0,R-Fr.,"Hueytown, Ala. / Hueytown HS",Murray State,,,,
21,,20.0,Jhadyn Fridge,DB,6-0,175.0,R-Fr.,"East St. Louis, Ill. / East St. Louis HS",Murray State,,,,
22,,21.0,Jayson Coley,DB,6-0,180.0,Sr.,"Markham, Ill. / Hillcrest HS",Murray State,North Dakota,,,
23,,22.0,Marco Collins,DB,5-10,180.0,Jr.,"Overland Park, Kan. / Blue Valley North HS",Murray State,Coffeyville CC,,,
24,,23.0,Tameron Williams,DB,5-11,180.0,R-Fr.,"St. Louis, Mo. / Trinity Catholic HS",Murray State,,,,
25,,24.0,Wesley Haddox,DB,5-10,180.0,R-Fr.,"Mustang, Okla. / Mustang HS",Murray State,,,,
26,,25.0,Caldra Williford,DB,5-9,176.0,So.,"St. Louis, Mo. / Lutheran North HS",Murray State,,,,
27,,26.0,Kywon Morgan,RB,-,,Jr.,"Conroe, Texas / Oak Ridge HS",Murray State,Tyler JC,,,
28,,27.0,Davion Sistrunk,DB,6-3,170.0,Jr.,"Melbourne, Fla. / Eau Gallie HS",Murray State,Missouri,,,
29,,28.0,Kylan Galbreath,RB,5-7,175.0,So.,"Mayfield, Ky. / Mayfield HS",Murray State,,,,
30,,29.0,Q'Daryius Jennings,RB,5-10,207.0,R-Fr.,"Hartford, Ky. / Ohio County HS",Murray State,,,,
31,,30.0,Jawaun Northington,RB,5-9,204.0,So.,"Louisville, Ky. / DuPont Manual HS",Murray State,,,,
32,,31.0,DJ Escort,RB,6-0,180.0,So.,"Venice, Fla. / Venice HS",Murray State,,,,
33,,32.0,Cody Goatley,ILB,6-2,219.0,R-So.,"Mayfield, Ky. / Graves County HS",Murray State,Kentucky,,,
