,Statistic,#,Image,Full Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Major,Hometown,High School,Previous School,Name,Title
0,,0.0,,Tre'Vion Green,LB,6-1,210.0,Jr.,Prairie View A&M,Kinesiology,"Fort Worth, Texas",Everman HS,,,
1,,0.0,,Jailon Howard,WR,5-8,170.0,R-Sr.,Prairie View A&M,Business Management,"Missouri, Texas",Elkins HS,Elkins HS,,
2,,1.0,,Stacy Brown,S,6-3,205.0,Sr.,Prairie View A&M,,"Dallas, Texas",Duncanville,Missouri,,
3,,1.0,,Jaden Stewart,RB,6-0,210.0,So.,Prairie View A&M,Biology,"Pearland, Texas",Dawson,,,
4,,2.0,,Jessie Evans,LB,6-3,244.0,So.,Prairie View A&M,Kinesiology,"Houston, Texas",C.E. King HS,,,
5,,2.0,,Connor Wisham,RB,6-0,180.0,Fr.,Prairie View A&M,Mechanical Engineering,"Zachary, La.",Zachary HS,,,
6,,3.0,,Theo Justin Hammond,WR,5-11,177.0,Fr.,Prairie View A&M,Business Management,"Odessa, Tx",Permian High School,,,
7,,3.0,,Logan Jackson,CB,6-0,185.0,Sr.,Prairie View A&M,Kinesiology,"Dallas, Texas",West Mesquite HighSchool,West Mesquite HS,,
8,,4.0,,Xavier Johnson,WR,5-11,173.0,R-Sr.,Prairie View A&M,Kinesiology,"Temple, Texas",Temple HS,,,
9,,4.0,,Jamias Presley,CB,5-10,170.0,R-Sr.,Prairie View A&M,Masters Business Administration,"Opelika, Ala.",Opelika HS,Jacksonville State,,
10,,5.0,,Ahmad Antoine,RB,5-10,185.0,R-Jr.,Prairie View A&M,Architecture,"New Orleans, La.",Edna Karr HS,,,
11,,6.0,,Jahquan Bloomfield,WR,6-1,190.0,Gr.,Prairie View A&M,Physical Education,"Katy, Texas",,Seven Lakes HS I University of Louisiana Monroe,,
12,,6.0,,Jaylen Lane,DB,6-2,200.0,R-Fr.,Prairie View A&M,Communication,"The Woodlands, Texas",The Woodlands High School,,,
13,,7.0,,Jeremiah Harris,MLB,6-1,215.0,R-So.,Prairie View A&M,Business Management,"Pearland, Texas",Shadow Creek,Kansas State University,,
14,,7.0,,Kristian Mosley,RB,5-10,174.0,Gr.,Prairie View A&M,Architecture,"New Sarpy, La",Destrehan HS.,La. Tech,,
15,,8.0,,Troy James,DL,6-2,285.0,R-Sr.,Prairie View A&M,Criminal Justice,"Baton Rouge, La.",Madison Prep Academy,University of Oklahoma,,
16,,8.0,,Ellis Rogers,DL,6-1,185.0,Fr.,Prairie View A&M,Business Management,"Garland, Texas",Garland HS,,,
17,,9.0,,Nevon Cooper,WR,5-11,170.0,Fr.,Prairie View A&M,Kinesiology/Business,"San Antonio, Texas",Madison HS,,,
18,,9.0,,Keyshawn Johnson,LB,6-0,225.0,Jr.,Prairie View A&M,Juvenile Justice,Duncanville,Duncanville High School,,,
19,,10.0,,Tre'jon Spiller,WR,6-3,185.0,So.,Prairie View A&M,Kinesiology,Killeen,Ellison High School,,,
20,,11.0,,Kevin Victorian,DE,6-3,250.0,Gr.,Prairie View A&M,General Studies,"Lake Charles, La.",LaGrange HS,Tyler JC,,
21,,12.0,,Chris Scott,QB,6-4,210.0,R-Sr.,Prairie View A&M,Juvenile Justice,"Natchez, Miss.",Natchez HS,Alabama State,,
22,,13.0,,Cameron Franklin,WR,6-2,195.0,So.,Prairie View A&M,Kinesiology,"Sweeny, Texas",Van Vleck,,,
23,,14.0,,Trazon Connley,QB,6-2,196.0,R-Jr.,Prairie View A&M,Criminal Justice,"Dallas, Texas",Duncanville HS,Duncanville HS,,
24,,15.0,,Channing Dumas,QB,6-3,195.0,Fr.,Prairie View A&M,Business,"Katy, Texas",Paetow HS,,,
25,,16.0,,Chris Herron,QB,6-2,212.0,R-Jr.,Prairie View A&M,Communications,"Houston, Texas",Langham Creek HS,Blinn,,
26,,17.0,,Collier Ricks,WR,6-4,195.0,Gr.,Prairie View A&M,Masters Business Administration,"Laplace,Louisanna",,Texas Wesleyan University,,
27,,18.0,,Khristopher Simmons,WR,6-2,190.0,R-So.,Prairie View A&M,Business Management,"Zachary, La.",Zachary HS,Zachary HS,,
28,,19.0,,Bryce Turner,DB,5-11,185.0,Jr.,Prairie View A&M,Kinesiology,"Clinton, Miss",Clinton,Jones College,,
29,,20.0,,DeJuan Lewis,DB,5-11,180.0,Fr.,Prairie View A&M,Business/Real estate,"Pearland, Texas",Shadow Creek,,,
30,,21.0,,Dylan DeCuire,CB,6-2,195.0,Sr.,Prairie View A&M,Business/ Nursing,"New Orleans, LA",Warren Easton HS,Warren Easton HS,,
31,,22.0,,DeAngelo Alexander,S,6-2,200.0,Jr.,Prairie View A&M,,The Woodlands,The Woodlands HS,Blinn,,
32,,23.0,,Lamont Landry,DB,6-2,190.0,So.,Prairie View A&M,Mechanical Engineering,"Houston, Texas",Lamar HS,Lamar HS,,
33,,24.0,,Khai'mon Samuel,DB,6-1,190.0,So.,Prairie View A&M,Kinesiology,"Houston, Texas",Lamar HS,,,
34,,25.0,,Gerald Smith,CB,5-10,185.0,R-Sr.,Prairie View A&M,Criminal Justice,"Harrison, Ohio",Harrison HS,Ball State,,
35,,26.0,,Tayvion Haggerty,DB,6-2,188.0,Jr.,Prairie View A&M,Mechanical Engineering,"Baytown, Texas",Sterling HS,,,
36,,27.0,,Jamarious Brooks,RB,5-9,180.0,Fr.,Prairie View A&M,Mechanical Engineering,Memphis,Memphis Central High School,,,
37,,28.0,,"Travis Pearson,",DB,5-11,160.0,R-Fr.,Prairie View A&M,Construction Science,Birmingham Ala.,Fairfield HS,,,
38,,29.0,,Bernard Goodwater,RB,5-9,190.0,R-Sr.,Prairie View A&M,Kinesiology,"Dallas, Texas",,Kansas St.,,
39,,30.0,,Shelvin Hudson,DE,6-3,235.0,R-Sr.,Prairie View A&M,Kinesiology,"Fayette, Miss",Jefferson County,Mississippi Gulf Coast College,,
40,,31.0,,Jaylen Stanford,DB,5-11,185.0,Fr.,Prairie View A&M,Criminal Justice,Houston,Westfield High School,,,
41,,32.0,,Jordan Nichols,S,6-1,202.0,R-Fr.,Prairie View A&M,,"Waco, Texas",Connally HS,North Texas,,
42,,33.0,,Tariq Mulmore,FS,6-1,185.0,Sr.,Prairie View A&M,Kinesiology,"New Orleans, La.",Edna Karr HS,Edna Karr HS,,
43,,34.0,,Teshaun Singleton,RB,5-10,180.0,Fr.,Prairie View A&M,Psychology,Cibolo,Steele HS,,,
44,,35.0,,Cody Mayberry,RB,5-10,180.0,R-Fr.,Prairie View A&M,Communications,"Fort Worth, Texas",Boswell HS,,,
45,,37.0,,"Myles McHaney, IV",DE,6-3,230.0,Gr.,Prairie View A&M,Criminal Justice,"Macomb, Mich.",L'Anse Creuse North HS,Upper Iowa University,,
46,,38.0,,Luis Reyes,K/P,6-0,196.0,Sr.,Prairie View A&M,Criminal Justice,"Cypress, Texas",Cy Woods,Kilgore JC,,
47,,39.0,,Caleb Darbone,P,6-1,194.0,R-Sr.,Prairie View A&M,Criminal Justice with a minor in Psychology,"Lake Charles, La.",Barbe HS,Barbe HS,,
