,Statistic,No.,Name,Cl.,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Title
0,,2.0,Randy Brito,Gr.,CB,5-11,185.0,"Bronx, N.Y. / Cardinal Hayes",Sacred Heart,,,
1,,2.0,Devin Young,Gr.,WR,5-10,185.0,"Binghamton, N.Y. / Binghamton",Sacred Heart,Maine,,
2,,3.0,Arsheen Jiles,Jr.,DB,5-9,180.0,"Montclair, N.J. / Don Bosco Prep",Sacred Heart,,,
3,,3.0,Jalen Madison,Jr.,RB,5-9,195.0,"Stratford, Conn. / Brunswick School",Sacred Heart,,,
4,,4.0,Javin Adderly,So.,DB,5-10,170.0,"Fayetteville, Ga. / Sandy Creek",Sacred Heart,,,
5,,4.0,Malik Grant,Sr.,RB,5-9,200.0,"The Bronx, N.Y. / Archbishop Stepinac",Sacred Heart,,,
6,,5.0,Rob DiNota,Gr.,WR,5-10,170.0,"Thornwood, N.Y. / Westlake",Sacred Heart,,,
7,,5.0,Myles Talley,Sr.,LB,6-,210.0,"Hatfield, Pa. / St. Joseph's Prep",Sacred Heart,,,
8,,6.0,Marques Mason,Sr.,DB,5-7,165.0,"Philadelphia, Pa. / St. Joseph's Prep",Sacred Heart,,,
9,,6.0,Cade Pribula,Gr.,QB,6-1,205.0,"York, Pa. / Central York",Sacred Heart,Delaware,,
10,,7.0,Jason McCleod,Gr.,DB,5-10,180.0,"West Palm Beach, Fla. / Oxbridge Academy",Sacred Heart,Penn,,
11,,7.0,Marquez McCray,Sr.,QB,6-2,200.0,"Philadelphia, Pa. / St. Joseph",Sacred Heart,,,
12,,8.0,Evan Cormier,Sr.,QB,6-,165.0,"Londonderry, N.H. / Londonderry HS",Sacred Heart,,,
13,,8.0,Xavier Leigh,So.,RB,5-10,175.0,"Troy, NY / Troy",Sacred Heart,,,
14,,9.0,Robert O'Donnell,Gr.,LB,6-,220.0,"Andover, Mass. / Phillips Academy",Sacred Heart,,,
15,,9.0,Kenneth Womack,Jr.,WR,5-11,180.0,"Upper Marlboro, Md. / Bishop McNamara",Sacred Heart,,,
16,,10.0,Jordan Campbell,So.,DB,5-8,180.0,"Jersey City, NJ / St. Joseph's Prep",Sacred Heart,,,
17,,10.0,Troy Holland,Sr.,WR,6-2,180.0,"Wyndmoor, Pa. / La Salle",Sacred Heart,,,
18,,11.0,Rob McCoy,Sr.,QB,6-1,190.0,"Willingboro, N.J. / Mater Dei Prep",Sacred Heart,,,
19,,11.0,Cortez Roberts,Gr.,S,5-11,198.0,"Atlanta, Ga. / North Springs",Sacred Heart,Murray State,,
20,,12.0,Mike Burke,Jr.,QB,6-2,195.0,"Pine Brooke, N.J. / Montville Township",Sacred Heart,,,
21,,12.0,Jaheem Knight,Jr.,DB,5-11,185.0,"Philadelphia, Pa. / Northeast",Sacred Heart,,,
22,,13.0,LJ Haskett,Jr.,WR,5-9,170.0,"Virginia Beach, Va. / Landstown",Sacred Heart,,,
23,,13.0,Kenny Selby,Fy.,DB,5-11,160.0,"Vineland, N.J. / St. Augustine Prep",Sacred Heart,,,
24,,14.0,Frank Alfano,Gr.,S,6-0,190.0,"Cos Cob, Conn. / Trinity Catholic",Sacred Heart,,,
25,,14.0,Amir Jenkins,So.,QB,6-3,215.0,"Baltimore, Md. / Calvert Hall College HS",Sacred Heart,,,
26,,15.0,Frank Gamberdella,Sr.,QB,6-0,175.0,"Santa Barbara, Calif. / Santa Barbara",Sacred Heart,,,
27,,15.0,Mike-Lee Joseph,Gr.,DB,6-1,190.0,"Bridgeport, Conn. /",Sacred Heart,Maine,,
28,,15.0,Jack Street,Fy.,QB,5-11,160.0,"Newtown, Conn. / Newtown",Sacred Heart,,,
29,,16.0,Coleman Hostage,Fy.,QB,6-1,175.0,"Northborough, Mass. / Algonquin Regional",Sacred Heart,,,
30,,16.0,Kevin McGuire,Fy.,WR,5-8,169.0,"Los Angeles, Calif. / Culver City",Sacred Heart,,,
31,,17.0,Matt Kling,So.,K,6-1,215.0,"Canton, Ohio / Canton Central Catholic",Sacred Heart,,,
32,,17.0,Payton Rhoades,Jr.,WR,6-2,180.0,"Silver Creek, Ga. / Pepperall",Sacred Heart,,,
33,,18.0,Aboraa Kwarteng,Fy.,WR,6-2,190.0,"Gaithersburg, Md. / Mt. Zion Preparatory Academy",Sacred Heart,,,
34,,18.0,Devin O'Connell,Jr.,K,5-8,175.0,"Newtown, Conn. / Newtown",Sacred Heart,,,
35,,19.0,Tony Alfano,Fy.,QB,6-3,185.0,"White Plains, NY / Archbishop Stepinac",Sacred Heart,,,
36,,19.0,John Wood,Jr.,DB,5-10,170.0,"Williamstown, N.J. / Williamstown",Sacred Heart,,,
37,,20.0,Ryan Moore,Fy.,S,5-11,185.0,"Wyndmoor, Pa / La Salle College HS",Sacred Heart,,,
38,,20.0,Curtis Whiting,Fy.,RB,5-10,185.0,"Hackensack, N.J. / Hackensack",Sacred Heart,,,
39,,21.0,Coleman Drugotch,Sr.,WR,6-,185.0,"Stow, Mass. / St. John's HS",Sacred Heart,,,
40,,21.0,Quinn Hart,Jr.,DB,5-9,175.0,"Williamstown, N.J. / Williamstown",Sacred Heart,,,
41,,22.0,Brody Colbert,So.,DB,5-10,190.0,"Monroe, NJ / Williamstown",Sacred Heart,,,
