,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,D'Ago Hunter,RB,5-6,160.0,R-Sr.,"Culpeper, Va. / Eastern View",Towson,,,,
1,,2.0,Rishon Holmes,QB,6-1,205.0,Fr.,"Baltimore, Md. / Milford Mill Academy",Towson,,,,
2,,3.0,Tramar Reece,DL,6-4,260.0,Gr.,"Clearwater, Fla. / Clearwater H.S.",Towson,Indiana University,,,
3,,4.0,Tyrrell Pigrome,QB,5-10,200.0,R-Sr.,"Birmingham, Ala. / Clay-Chalkville H.S.",Towson,University of Mississippi,,,
4,,4.0,Daniel Raymond,LB,6-0,200.0,R-So.,"Fort Washington, Md. / Friendly H.S.",Towson,,,,
5,,6.0,Jamal Gay,LB,6-1,200.0,Gr.,"Beltsville, Md. / St. John's College H.S.",Towson,,,,
6,,7.0,Matthew Akuchie,WR,6-2,200.0,R-Jr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",Towson,Florida Atlantic University,,,
7,,7.0,Frank Stettner,DB,5-10,185.0,R-Sr.,"Phillipsburg, N.J. / Phillipsburg H.S.",Towson,,,,
8,,8.0,Joachim Bangda,RB,5-10,230.0,Jr.,"Washington, D.C. / St. Frances Academy",Towson,Kent State University,,,
9,,8.0,Jesus Gibbs,DL,6-4,275.0,R-Sr.,"Dumfries, Va. / Potomac H.S.",Towson,University of South Carolina,,,
10,,9.0,Vinnie Shaffer,DL,5-11,305.0,Gr.,"Middle River, Md. / Archbishop Curley H.S.",Towson,Saint Anselm College,,,
11,,9.0,Darian Street,WR,6-2,190.0,Gr.,"Bethlehem, Pa. / Liberty H.S.",Towson,University of Pittsburgh,,,
12,,10.0,Zack Jackson,QB,6-0,195.0,R-Fr.,"Aldie, Va. / John Champe H.S.",Towson,University of Maryland,,,
13,,10.0,Robert Javier,DB,6-1,195.0,R-Sr.,"Bronx, N.Y. / Cardinal Hayes H.S.",Towson,,,,
14,,11.0,Oly Okombi,DL,6-1,255.0,R-Jr.,"Silver Spring, Md. / Blair H.S.",Towson,Kent State University,,,
15,,11.0,Daniel Thompson IV,WR,6-3,205.0,Sr.,"Ashburn, Va. / Stone Bridge H.S.",Towson,,,,
16,,12.0,Sam Reynolds,WR,5-8,185.0,R-Fr.,"Alabaster, Ala. / Thompson H.S.",Towson,University of South Carolina,,,
17,,13.0,Da'Kendall James,WR,6-1,190.0,R-Jr.,"Chesapeake, Va. / Portsmouth Christian",Towson,Norfolk State University,,,
18,,13.0,DJ Washington,LB,6-2,215.0,Fr.,"Woodbridge, Va. / Life Christian Academy",Towson,,,,
19,,14.0,Lukkas Londono,WR,5-10,185.0,R-Fr.,"Fairview, N.J. / Cliffside Park H.S.",Towson,,,,
20,,15.0,Nathan Kent,QB,6-2,200.0,R-So.,"Eldersburg, Md. / Liberty H.S.",Towson,,,,
21,,16.0,Scott Smith III,QB,6-4,210.0,R-Fr.,"Bel Air, Md. / St. Paul's School",Towson,,,,
22,,17.0,Tyler Johnston III,QB,6-2,205.0,Gr.,"Spanish Fort, Ala. / Spanish Fort",Towson,UAB,,,
23,,17.0,Makye Smith,DL,6-1,240.0,Gr.,"Upper Marlboro, Md. / Frederick Douglas H.S.",Towson,Stony Brook University,,,
24,,18.0,Jabari Allen,WR,6-4,205.0,Gr.,"Spotsylvania, Va. / Courtland H.S.",Towson,,,,
25,,19.0,Zay Perkins,WR,6-2,205.0,Fr.,"Laurel, Md. / St. Vincent Pallotti",Towson,,,,
26,,20.0,Darren Cleary,DB,6-0,180.0,R-So.,"West Friendship, Md. / Glenelg H.S.",Towson,Ave Maria Univ.,,,
27,,20.0,JaVaughn Faunteroy,LB,6-0,200.0,R-So.,"Forestville, Md. / Bishop McNamara H.S.",Towson,,,,
28,,21.0,Sabias Folley,RB,5-11,235.0,Jr.,"Charlottesville, Va. / Fork Union Military Academy",Towson,,,,
29,,21.0,Evan Rutkowski,LB,6-2,200.0,R-Fr.,"Ashburn, Va. / Briar Woods H.S.",Towson,,,,
30,,22.0,Dumkele Idehen,LB,6-0,215.0,Fr.,"Fort Mill, S.C. / Indian Land H.S.",Towson,,,,
31,,22.0,Curtis Murray,RB,5-10,190.0,Sr.,"Upper Marlboro, Md. / Riverdale Baptist H.S.",Towson,University of Maine,,,
32,,23.0,Sean Tucker,DB,6-0,170.0,R-Fr.,"Washington, D.C. / H.D. Woodson H.S.",Towson,East Carolina University,,,
33,,24.0,Ubayd Steed,S,5-11,180.0,Jr.,"Philadelphia, Pa. / Neumann-Goretti H.S.",Towson,,,,
34,,25.0,Charles Peeples,CB,6-0,180.0,Gr.,"Mableton, Ga. / Pebblebrook H.S.",Towson,Reedley College,,,
