,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Name,Title
0,,0.0,Syrus Webster,DL,6-4,Jr.,"West Jordan, Utah / West Jordan HS",,,
1,,2.0,Jordan Scott,DB,6-2,R-Jr.,"Redlands, Calif. / Citrus Valley HS",,,
2,,4.0,Jayden Sheridan,DB,6-0,R-So.,"West Hills, Calif. / Chaminade HS",,,
3,,5.0,Sam Kanongata'a,DL,6-3,R-Sr.,"San Jose, Calif. / Fremont HS",,,
4,,5.0,Thomas Kinslow,RB,5-10,R-Jr.,"Corona, Calif. / Corona Centennial HS",,,
5,,7.0,Boone Abbott,QB,6-2,R-So.,"Highland, Utah / American Fork HS",,,
6,,7.0,Jagger Williams,DB,6-2,R-So.,"Baldwin Hills, Calif. / Culver City HS",,,
7,,8.0,Keith Davis,WR,6-1,R-Jr.,"San Diego, Calif. / Scripps Ranch HS",,,
8,,9.0,Devyn Perkins,CB,5-10,R-So.,"Las Vegas, Nev. / Las Vegas HS",,,
9,,11.0,Malcolm Ross-Turner,WR,6-2,R-Sr.,"San Diego, Calif. / Rancho Bernardo HS",,,
10,,13.0,Rickie Johnson,WR,6-3,Sr.,"Murrieta, Calif. / Vista Murrieta HS",,,
11,,14.0,Michael Moten,WR,5-10,R-Sr.,"St. George, Utah / Pine View HS",,,
12,,14.0,Gabriel Valenzuela,DB,5-11,R-Fr.,"Covina, Calif. / Charter Oaks HS",,,
13,,15.0,Bretton Stone,RB,5-11,So.,"St. George, Utah / Snow Canyon HS",,,
14,,16.0,Kobe Tracy,QB,6-4,R-Jr.,"Chubbuck, Idaho / Highland HS",,,
15,,17.0,Aaron Holloway,WR,5-11,R-Fr.,"Las Vegas, Nev. / Legacy HS",,,
16,,18.0,Reggie Graff,QB,6-1,R-Fr.,"St. George, Utah / Dixie HS",,,
17,,19.0,Talmage Hughes,DB,6-1,R-Fr.,"San Bernardino, Calif. / Cajon HS",,,
18,,20.0,Troy Miller,DB,6-1,R-So.,"Las Vegas, Nev. / Centennial HS",,,
19,,20.0,Khalid Robinson,RB,5-11,R-Fr.,"Stockton, Calif. / James Logan HS",,,
20,,21.0,Will Leota,LB,6-2,Jr.,"Salem, Utah / Salem Hills HS",,,
21,,24.0,Jeter Fenton,RB,5-11,So.,"Lehi, Utah / Skyridge HS",,,
22,,24.0,Bryant Weekly,DB,6-2,R-So.,"Pittsburg, Calif. / Pittsburg HS",,,
23,,28.0,Thomas Jones,RB,6-0,R-Fr.,"San Diego, Calif. / San Diego HS",,,
24,,29.0,Jonah Henry,DB,6-2,So.,"Nu'uanu, Hawai'i / Punahou HS",,,
25,,30.0,Amari Duncan,CB,6-2,R-So.,"Sacramento, Calif. / River City HS",,,
26,,31.0,Ryan Kean,LS,6-2,R-Fr.,"Corona, Calif. / Centennial HS",,,
27,,32.0,Darrian Tau-Feazell,LB,6-2,R-So.,"Reno, Nev. / Bishop Manogue Catholic HS",,,
28,,34.0,Andrew Day,P,6-2,Jr.,"St. George, Utah / Snow Canyon HS",,,
29,,35.0,Micah Gardner,CB,6-0,R-So.,"Carson, Calif. / Carson HS",,,
