,Statistic,Number,Full Name,Pos.,Ht.,Wt.,Year,Hometown/High School,Current School Name,Image,Name,Title
0,,0.0,Devin Mathews,WR,6-3,205.0,5th,"Palm Coast, Fla. / Matanzas",Wofford,,,
1,,2.0,Maximus Pulley,DB,5-11,190.0,So.,"Fort Worth, Texas / Bell",Wofford,,,
2,,3.0,Carlton Terry II,WR,6-0,170.0,R-Fr.,"Conway, S.C. / Conway",Wofford,,,
3,,4.0,Trey Baker,QB,6-2,170.0,Sr.,"Raleigh, N.C. / Leesville Road",Wofford,,,
4,,4.0,John Boyles,LB,6-3,230.0,Sr.,"Traverse City, Mich. / Episcopal (Va.)",Wofford,,,
5,,4.0,Dylan Djete,WR,6-0,180.0,So.,"Levis, Quebec / Clearwater International Academy (FL)",Wofford,,,
6,,5.0,Kyle Pinnix,ATH,6-1,200.0,So.,"Reidsville, N.C. / Reidsville",Wofford,,,
7,,5.0,Jahaad Scales,DB,6-0,194.0,So.,"Winston-Salem, N.C. / Glenn",Wofford,,,
8,,6.0,Jalen Marshall,LB,6-2,205.0,So.,"Hiram, Ga. / South Paulding",Wofford,,,
9,,6.0,Rickie Shaw II,WR,6-2,185.0,R-Fr.,"Jacksonville, Fla. / Riverside",Wofford,,,
10,,8.0,Bryce Corriston,QB,6-1,205.0,Sr.,"Spring, Texas / Klein",Wofford,,,
11,,8.0,Eli Purcell,LB,6-2,235.0,Jr.,"Knoxville, Tenn. / Farragut",Wofford,,,
12,,9.0,Jordan Davis,TE,6-2,225.0,Jr.,"Arlington, Texas / Timberline",Wofford,,,
13,,9.0,John Michael DiRoberto,S,6-0,195.0,Sr.,"Roswell, Ga. / Roswell",Wofford,,,
14,,10.0,Harrison Morgan,LB,6-3,220.0,Sr.,"Easley, S.C. / Wren",Wofford,,,
15,,10.0,Cade Rice,QB,6-3,215.0,So.,"Enon, Ohio / Northmont",Wofford,,,
16,,11.0,Alec Holt,WR,6-0,185.0,Sr.,"Jacksonville, Fla. / Gilbert (S.C.)",Wofford,,,
17,,11.0,Javis Mynatt,DB,6-0,185.0,R-Fr.,"Knoxville, Tenn. / Knoxville Catholic",Wofford,,,
18,,11.0,Isaiah Wadsworth,DB,6-0,185.0,Sr.,"Hampton, Ga. / St. Francis",Wofford,,,
19,,12.0,Ryan Ingram,RB,5-11,210.0,Sr.,"Stone Mountain, Ga. / Stephenson",Wofford,,,
20,,12.0,Isaiah Mananga,LB,6-3,205.0,Jr.,"Clayton, N.C. / Clayton",Wofford,,,
21,,13.0,Amir Annoor,DB,6-1,180.0,Jr.,"Nashville, Tenn. / Brentwood Academy",Wofford,,,
22,,13.0,Cam Smith,WR,6-4,215.0,R-Fr.,"Dayton, Ohio / Centerville",Wofford,,,
23,,14.0,Matthew Clayton,LB,6-3,210.0,R-Fr.,"Gainesville, Fla. / Buchholz",Wofford,,,
24,,14.0,Jacob Kimbrell,QB,6-2,200.0,Sr.,"Chesnee, S.C. / Chesnee",Wofford,,,
25,,15.0,Samuel Cornett,QB,6-6,225.0,R-Fr.,"Woodstock, Ga. / Frederick Douglas (Ky.)",Wofford,,,
26,,15.0,Rafal Szymanski,LB,6-4,230.0,So.,"Olsztyn, Poland / Rabun Gap-Nacoochee",Wofford,,,
27,,16.0,Pauly Seeley,QB,6-0,185.0,Fr.,"Alma, Mich. / New Hampstead (Ga.)",Wofford,,,
28,,17.0,Chase Soper,QB,6-0,215.0,Jr.,"Alexandria, Va. / Hayfield",Wofford,,,
29,,18.0,Garrett Vernon,WR,6-2,210.0,Sr.,"Elkin, N.C. / East Wilkes",Wofford,,,
30,,19.0,Gabriel Harris,DB,6-2,190.0,So.,"Sumter, S.C. / Laurence Manning Academy",Wofford,,,
31,,20.0,Damien Curtis,DB,5-11,170.0,Jr.,"Gainesville, Fla. / Buchholz",Wofford,,,
32,,22.0,David Legette,RB,5-10,180.0,Sr.,"Myrtle Beach, S.C. / Carolina Forest",Wofford,,,
33,,23.0,R.J. Brunson,DB,6-1,190.0,R-Fr.,"St. Matthews, S.C. / Calhoun County",Wofford,,,
34,,24.0,Ryan Stephens,RB,6-0,224.0,R-Fr.,"Lawrenceville, Ga. / Collins Hill",Wofford,,,
35,,26.0,Tommy Miller,DB,6-0,180.0,R-Fr.,"Matthews, N.C. / Metrolina Christian",Wofford,,,
36,,27.0,Michael Long,RB,5-8,185.0,So.,"Mt. Pleasant, S.C. / Bishop England",Wofford,,,
37,,28.0,Kyle Parsons,RB,6-0,200.0,So.,"Weddington, N.C. / Weddington",Wofford,,,
38,,31.0,Nick Morgan,LB,6-2,205.0,So.,"Easley, S.C. / Wren",Wofford,,,
39,,32.0,Devery Cagle,K,6-0,175.0,R-Fr.,"Greenville, S.C. / Eastside",Wofford,,,
40,,34.0,David Powers,LB,6-0,225.0,Jr.,"El Paso, Texas / Franklin",Wofford,,,
41,,35.0,Atkins Roberts,K/P,6-0,175.0,Sr.,"Mountain Brook, Ala. / Mountain Brook",Wofford,,,
42,,36.0,Brandon Davenport,TE,6-4,235.0,R-Fr.,"Kernersville, N.C. / East Forsyth",Wofford,,,
43,,38.0,Bridger Jones,K,5-10,185.0,So.,"Columbus, Ga. / Columbus",Wofford,,,
44,,40.0,Jon Schaffer,LB,6-2,238.0,R-Fr.,"Early Branch, S.C. / Andrew Jackson",Wofford,,,
45,,41.0,Mark Brown,LB,6-0,195.0,R-Fr.,"Columbia, S.C. / Hammond",Wofford,,,
46,,42.0,Marcus Gatling,LB,5-11,215.0,Jr.,"Havelock, N.C. / Havelock",Wofford,,,
47,,43.0,C.J. Tillman,DL,6-0,285.0,Sr.,"North Augusta, S.C. / Fox Creek",Wofford,,,
48,,44.0,Benny Radicia,LB,6-0,220.0,Jr.,"Omaha, Neb. / Omaha Westside",Wofford,,,
49,,45.0,Blake Shirley,LS,6-0,190.0,R-Fr.,"Greer, S.C. / Eastside",Wofford,,,
50,,46.0,Andrew Guth,DL,6-4,225.0,R-Fr.,"Johns Creek, Ga. / Johns Creek",Wofford,,,
51,,48.0,John Mazzella,TE,6-0,225.0,R-Fr.,"Jacksonville, Fla. / Ponte Vedra",Wofford,,,
52,,50.0,Anthony Garcia,OL,6-3,300.0,Sr.,"Leavenworth, Kansas / Leavenworth",Wofford,,,
53,,52.0,Seth Foster,DL,6-3,275.0,So.,"Blackshear, Ga. / Pierce County",Wofford,,,
54,,52.0,Ben Marler,OL,6-4,280.0,So.,"Okatie, S.C. / May River",Wofford,,,
55,,53.0,Josh Harris,DL,6-1,255.0,So.,"Myrtle Beach, S.C. / Carolina Forest",Wofford,,,
56,,55.0,Cameron Woolery,DL,6-1,245.0,Sr.,"Orland Park, Ill. / Carl Sandburg",Wofford,,,
57,,56.0,Jason Swann,OL,6-3,300.0,5th,"Fort Lauderdale, Fla. / Saint Thomas Aquinas",Wofford,,,
58,,57.0,Joey Kimberling,LB,6-2,220.0,So.,"Hampstead, N.C. / Topsail",Wofford,,,
59,,58.0,Marc Magno,OL,6-4,300.0,So.,"Charlotte, N.C. / Providence Day School",Wofford,,,
60,,59.0,Gavin Taylor,OL,6-2,260.0,So.,"West Columbia, S.C. / Brookland-Cayce",Wofford,,,
61,,62.0,Santana Haynes-Goodman,OL,6-5,275.0,Fr.,"Durham, N.C. / Hillside",Wofford,,,
62,,64.0,Tayvian Gass,OL,6-5,300.0,5th,"Sumter, S.C. / Sumer",Wofford,,,
63,,67.0,Lathan McComis,OL,6-4,280.0,R-Fr.,"West Chester, Ohio / Lakota West",Wofford,,,
64,,68.0,Clayton Hixon,OL,6-3,300.0,R-Fr.,"Jackson, Ga. / Jackson",Wofford,,,
