,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Name,Title
0,,3,Matthew Schecklman,QB,6-3,R-Fr.,"Appleton, Wisconsin / Appleton North HS",,,
1,,10,Aidan Dunne,QB,6-0,R-So.,"Dubuque, Iowa / Hempstead HS",,,
2,,12,Theo Day,QB,6-5,R-Sr.,"Canton, Michigan / Divine Child HS / Michigan State",,,
3,,25,Harrison Bey-Buie,RB,5-10,R-Jr.,"Bettendorf, Iowa / Bettendorf HS / Eastern Illinois",,,
4,,31,Kendall Robinson,RB,6-0,R-Jr.,"Waterloo, Iowa / Waterloo East HS",,,
5,,51,Keean Kamerling,OL,6-4,R-So.,"Mount Vernon, Iowa / Mount Vernon HS",,,
6,,59,Nate Timmons,OL,6-7,R-So.,"Davenport, Iowa / Assumption HS",,,
7,,60,Carson Petlon,OL,6-6,R-So.,"Manchester, Iowa / West Delaware HS",,,
8,,61,Chase Arends,OL,6-1,R-Sr.,"Cedar Falls, Iowa / Dike-New Hartford HS",,,
9,,65,Blake Anderson,OL,6-4,R-So.,"Omaha, Neb. / Skutt Catholic HS",,,
10,,66,Jordan Ver Meer,OL,6-6,R-So.,"Larchwood, Iowa / West Lyon HS",,,
11,,68,Jet Solinger,OL,6-7,So.,"Mount Pleasant, S.C. / Wando HS",,,
12,,69,Wes Hine,OL,6-5,R-So.,"Kingfisher, Okla. / Kingfisher HS",,,
13,,70,Gavin Proudfoot,OL,6-7,So.,"Dresbach, Minn. / Onalaska Luther HS",,,
14,,74,Gunnar Kilen,OL,6-6,R-So.,"Verona, Wisc. / Verona Area HS",,,
15,,75,Jared Penning,OL,6-6,R-Jr.,"Clear Lake, Iowa / Clear Lake HS",,,
16,,76,Ben Kuehnast,OL,6-7,So.,"Humboldt, Iowa / Humboldt HS",,,
17,,78,Tristan Roper,OL,6-5,R-Jr.,"Blue Springs, Mo. / Blue Springs South HS",,,
18,,79,Hayden Amos,OL,6-5,R-So.,"Carlisle, Iowa / Carlisle HS",,,
19,,94,Carter Hewitt,OL,6-6,R-So.,"Jewell, Iowa / South Hamilton HS",,,
20,,--,Jaiden Carol,RB,5-10,Fr.,"Jenks, Okla. / Jenks HS",,,
21,,--,Kaleb Cline,OL,6-5,Fr.,"Spencer, Iowa / Spencer HS",,,
22,,--,Tyjahree Edwards,RB,6-3,Sr.,"Palatka, Fla. / Menendez HS / Hutchinson CC / UTSA",,,
23,,--,Braylon Kammrad,QB,6-2,Fr.,"Council Bluffs, Iowa / Lewis Central HS",,,
24,,--,Luke Reth,OL,6-4,Fr.,"Manchester, Iowa / West Delaware HS",,,
25,,--,JC Roque,RB,5-9,Fr.,"Lithia, Fla. / Newsome HS",,,
26,,--,Josh Volk,OL,6-4,So.,"Cedar Rapids, Iowa / Xavier HS / Iowa",,,
0,,,,,,,,,Mark Farley,Head Coach
1,,,,,,,,,Bryce Paup,Assistant Head Coach | Defensive Line
2,,,,,,,,,Bodie Reeder,Offensive Coordinator | Quarterbacks
3,,,,,,,,,Jeremiah Johnson,Defensive Coordinator
4,,,,,,,,,Rick Nelson,Offensive Line
5,,,,,,,,,Joe Ganz,Wide Receivers
6,,,,,,,,,Atif Austin,Running Backs
7,,,,,,,,,Keelon Brookins,Defensive Backs
0,,,,,,,,,Andrew Rosemark,Director of Football Operations
1,,,,,,,,,Zach Smith,Equipment Manager
2,,,,,,,,,Jed Smith,Strength & Conditioning Coach
3,,,,,,,,,Brandon Ronan,Strength & Conditioning Coach
4,,,,,,,,,Meghan Peacock,Athletic Trainer - Football
5,,,,,,,,,Blaine Wessels,Assistant Football Athletic Trainer
6,,,,,,,,,Maddie Tobler,Assistant Football Athletic Trainer
