,Statistic,#,Full Name,Class,Pos.,Ht.,Wt.,Hometown / High School,Image,Name,Title
0,,0.0,Ezeriah Anderson,R-Jr.,WR,6-5,210.0,"Seffner, Fla. / Armwood HS / Iowa State",,,
1,,0.0,Aaron Maddox,Gr.,S,6-0,210.0,"North Augusta, S.C. / North Augusta HS / Southern Illinois",,,
2,,1.0,Josh Johnson,Gr.,DL,6-5,255.0,"Duluth, Ga. / Peachtree Ridge HS / Highland CC",,,
3,,1.0,Lamagea McDowell,Jr.,RB,6-2,230.0,"Gastonia, N.C. / Hunter Huss HS",,,
4,,2.0,Justice Galloway-Velazquez,R-Sr.,LB,6-2,265.0,"Fayetteville, N.C. / Cape Fear HS",,,
5,,2.0,"Chad Mascoe, Jr.",Fr.,QB,6-1,210.0,"Kissimmee, Fla. / Osceola HS",,,
6,,3.0,DJ Charles,Gr.,S,5-10,200.0,"Orlando, Fla. / Dr. Phillips HS",,,
7,,3.0,Jai Williams,R-Sr.,WR,6-0,180.0,"Jacksonville, Fla. / Fletcher HS / Coastal Carolina",,,
8,,4.0,Bryant Barr,Gr.,RB,6-0,205.0,"Greensboro, N.C. / Eastern Guilford HS",,,
9,,4.0,Jonathan Jones,Sr.,CB,6-1,195.0,"Jacksonville, Fla. / Bishop Kenny HS",,,
10,,5.0,Dorian Jones,Gr.,S,5-11,195.0,"Orlando, Fla. / Ocoee HS",,,
11,,5.0,Jalen Kelsey,R-Sr.,WR,6-2,180.0,"Gainesville, Fla. / Gainesville HS",,,
12,,6.0,Jayden Chalmers,R-Fr.,CB,6-0,165.0,"Sanford, N.C. / Lee County HS / East Carolina",,,
13,,6.0,Hajj-Malik Williams,R-Jr.,QB,6-0,205.0,"Atlanta, Ga. / U.S. Military Academy Preparatory",,,
14,,7.0,Dervon Pesnell,R-Jr.,WR,6-4,205.0,"Moncks Corner, S.C. / Berkeley HS",,,
15,,7.0,Edric Weldon,Fr.,CB,6-5,210.0,"Miami, Fla. / South Broward HS",,,
16,,8.0,Brandon Fitez,Jr.,WR,5-7,170.0,"Altamonte Springs, Fla. / The Master's Academy",,,
17,,8.0,C.J. Smith,R-Sr.,S,6-1,195.0,"Jacksonville, Fla. / Fletcher HS / Minnesota",,,
18,,9.0,Brevin Allen,R-Sr.,DL,6-4,265.0,"Greensboro, N.C. / Northeast Guilford HS",,,
19,,9.0,"Chris McKay, Jr.",Jr.,RB,5-8,190.0,"Raleigh, N.C. / Trinity Christian School",,,
20,,10.0,Ed Dennis,So.,CB,6-0,200.0,"Philadelphia, Pa. / Penn Wood HS / Monroe College",,,
21,,10.0,Dylan Earney,R-Sr.,QB,6-4,195.0,"Charlotte, N.C. / Olympic HS",,,
22,,11.0,Wiley Hartley,Jr.,QB,6-3,200.0,"Atlanta, Ga. / North Atlanta HS",,,
23,,11.0,Xavier Kane,R-Jr.,S,6-0,190.0,"Christiansburg, Va. / Blue Ridge School",,,
24,,12.0,Adam McIntosh,Fr.,QB,6-2,205.0,"Beaufort, N.C. / East Carteret HS",,,
25,,12.0,Jack Wilkes,R-Jr.,LB,6-1,225.0,"Charlotte, N.C. / Providence HS",,,
26,,13.0,Akim Sledge,Fr.,CB,6-1,165.0,"Colonial Heights, Va. / Life Christian Academy",,,
27,,13.0,Hayden Smith,R-Jr.,QB,6-4,205.0,"Lillington, N.C. / Harnett Central HS",,,
28,,14.0,Noah Caston,R-So.,S,5-9,190.0,"Sandusky, Ohio / Sandusky HS / Walsh / Bowling Green",,,
29,,15.0,Matt Hampton,Gr.,TE,6-3,225.0,"Bailey, N.C. / Southern Nash HS",,,
30,,16.0,Kadeem Leonard,R-Fr.,LB,6-3,230.0,"Fairmont, N.C. / Fairmont HS / UCF",,,
31,,16.0,Tyquez Royal,R-So.,CB,6-1,175.0,"Fayetteville, N.C. / South View HS",,,
32,,17.0,Taylor Behl,R-So.,LB,6-1,235.0,"Georgetown, Texas / Louisiana Monroe",,,
33,,17.0,RJ Jackson,So.,WR,6-0,190.0,"Albemarle, N.C. / Anson HS",,,
34,,18.0,Jared Gibble,R-Fr.,TE,6-4,235.0,"Winston-Salem, N.C. / Oak Grove HS / Virginia Tech",,,
35,,18.0,Caleb LeGrand,Jr.,CB,6-0,175.0,"Charlotte, N.C. / Myers Park HS",,,
36,,19.0,Logan Clark,Fr.,CB,6-2,160.0,"Bloomington, Ind. / Paul VI HS (N.J.)",,,
37,,20.0,Monchovia Gaffney,R-Sr.,LB,6-2,230.0,"Whiteville, N.C. / Whiteville HS",,,
38,,20.0,Michael Jamerson,So.,RB,6-0,200.0,"Flint, Mich. / Davison HS / Gila River JC",,,
39,,21.0,NaQuari Rogers,Fr.,RB,6-0,205.0,"Virginia Beach, Va. / Portsmouth Christian",,,
40,,21.0,Myles Rowser,Fr.,S,6-1,190.0,"Detroit, Mich. / Belleville HS",,,
41,,22.0,Tai Goode,R-Jr.,RB,5-6,145.0,"Rochester, N.Y. / St. David's HS",,,
42,,22.0,Peyton Woulard,R-Sr.,S,6-1,190.0,"Suwanee, Ga. / Collins Hill HS / Wake Forest",,,
43,,23.0,Demitray Fields,R-Fr.,S,6-1,195.0,"Fort Lauderdale, Fla. / Fort Lauderdale HS",,,
