,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Previous School,Image,Title
0,,0.0,Daeton Mcgaughy,LB,6-0,210.0,Sr.,"Elwood, Kan.",Lafayette H.S.,,
1,,1.0,Jadon Janke,WR,6-3,210.0,Sr.,"Madison, S.D.",Madison H.S.,,
2,,2.0,Isaiah Stalbird,LB,6-1,200.0,Sr.,"Kearney, Neb.",Nebraska,,
3,,3.0,Amar Johnson,RB,5-11,190.0,Jr.,"O'Fallon, Mo.",Chamindae College Prep,,
4,,3.0,Dontay Johnson,S,6-1,170.0,R-Fr.,"Fort Collins, Colo.",Colorado Early College,,
5,,4.0,Canyon Bauer,WR,6-0,195.0,Sr.,"Sioux Falls, S.D.",O'Gorman H.S.,,
6,,5.0,DyShawn Gales,CB,5-11,190.0,Sr.,"North Chicago, Ill.",North Chicago Community H.S.,,
7,,6.0,Saiveon Williamson,LB,6-1,205.0,Sr.,"Waseca, Minn.",Waseca H.S.,,
8,,7.0,Dalys Beanum,CB,6-1,185.0,Sr.,"Omaha, Neb.",Millard West H.S.,,
9,,7.0,Chase Mason,QB,6-4,225.0,So.,"Hurley, S.D.",Nebraska,,
10,,9.0,Caleb Francl,LB,6-0,185.0,Sr.,"Grand Island, Neb.",Grand Island H.S.,,
11,,10.0,Hunter Dustman,K/P,6-3,230.0,Sr.,"East Bethel, Minn.",St. Francis H.S.,,
12,,10.0,Jaxon Janke,WR,6-3,210.0,Sr.,"Madison, S.D.",Madison H.S.,,
13,,11.0,Jason Freeman,LB,5-9,200.0,Sr.,"Zion, Ill.",Olivet Nazarene,,
14,,11.0,Mark Gronowski,QB,6-3,220.0,Jr.,"Naperville, Ill.",Neuqua Valley H.S.,,
15,,12.0,Regan Bollweg,TE,6-2,230.0,So.,"Harrold, S.D.",Pierre T.F. Riggs H.S.,,
16,,13.0,Aydan Dautermann,CB,6-1,185.0,So.,"Hartford, Wis.",Slinger H.S.,,
17,,14.0,Colby Huerter,S,6-1,195.0,Jr.,"Katy, Texas",Tompkins H.S.,,
18,,15.0,Devon Cole Jr.,WR,5-9,165.0,Jr.,"Clermont, Fla.",Lake Minneola H.S.,,
19,,15.0,Timothy Croskey,CB,6-0,170.0,So.,"Buckeye, Ariz.",Buckeye Union H.S.,,
20,,16.0,Jon Bell,QB,6-3,190.0,So.,"Naperville, Ill.",Naperville North,,
21,,17.0,Jeff Becker,QB,6-0,205.0,R-Fr.,"Fort Wayne, Ind.",Carroll H.S.,,
22,,17.0,Abe Hoskins III,CB,6-2,185.0,Jr.,"Omaha, Neb.",Omaha Central H.S.,,
23,,18.0,Grahm Goering,WR,6-2,190.0,So.,"Iowa City, Iowa",Iowa City West H.S.,,
