,Statistic,No.,Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School (Last School),Image,Title
0,,2.0,Paul Woods,R-Sr.,WR,6-1,180.0,"Buffalo, N.Y. / Canisius (Rutgers)",,
1,,3.0,John Erby,R-So.,WR,5-10,185.0,"Chester, S.C. / Chester",,
2,,4.0,Darius Savedge,R-Jr.,WR,6-3,215.0,"Surry County, Va. / Smithfield (Old Dominion)",,
3,,5.0,Jaylen Smith,So.,RB,5-10,205.0,"Pawtucket, R.I. / Shea",,
4,,6.0,Evan Stewart,R-So.,LB,6-0,225.0,"Sparta, N.J. / St. Joseph's Regional (Boston College)",,
5,,7.0,Kennique Bonner-Steward,R-So.,QB,6-4,230.0,"Fayetteville, N.C. / William A. Hough (Coahoma CC)",,
6,,8.0,Antonio Carter II,R-So.,DB,6-1,200.0,"Orlando, Fla. / Oak Ridge",,
7,,8.0,Kasim Hill,R-Sr.,QB,6-2,234.0,"Washington, D.C. / St. John's College (Tennessee)",,
8,,9.0,"Oneil ""Buzz"" Robinson",Sr.,DB,6-2,203.0,"Hartford, Conn. / Capital Prep (UConn)",,
9,,10.0,Marques DeShields,R-Sr.,RB,5-9,200.0,"Clemonton, N.J. / Overbrook (Saint Francis)",,
10,,11.0,Christian Arrington,R-Jr.,LB,6-2,230.0,"Mechanicsburg, Pa. / Cumberland Valley",,
11,,13.0,Ed Lee,R-Sr.,WR,5-10,185.0,"Washington, D.C. / St. John's College",,
12,,14.0,Marquis Buchanan,Fr.,WR,6-4,175.0,"Providence, R.I. / Classical",,
13,,15.0,Jackson Burkhalter,R-Fr.,QB,6-5,225.0,"Mobile, Ala. / Spanish Fort",,
14,,16.0,Jordan Colbert,Gr.,DB,6-3,215.0,"Clinton, Md. / Gonzaga Prep (Columbia)",,
15,,17.0,Jamall Mensah,So.,WR,5-11,180.0,"Coquitlam, British Columbia (Canada) / Episcopal (Va.)",,
16,,18.0,Kahtero Summers,Gr.,WR,6-3,213.0,"Coatesville, Pa. / Coatesville (Saint Francis)",,
17,,19.0,Trevor Nored,Fr.,QB,6-1,220.0,"Waldorf, Md. / St. Mary’s Ryken College",,
18,,20.0,A.J. Rogers,Sr.,S,6-0,185.0,"Duncan, S.C. / Byrnes (Western Carolina)",,
19,,21.0,Jaden Griffin,Fr.,RB,5-10,170.0,"Clearwater, Fla. / Countryside",,
20,,22.0,Randy Jordan,R-So.,DB,5-9,175.0,"Tulare, Calif. / Tulare Union (Fresno State)",,
21,,23.0,Jordan Jones,R-Sr.,DB,6-0,180.0,"Brooklyn, N.Y. / Abraham Lincoln",,
22,,24.0,Arthur White,So.,DB,6-1,195.0,"Washington, D.C. / Woodson",,
23,,25.0,Fredrick Mallay,So.,DB,5-9,175.0,"Providence, R.I. / Mt. Pleasant",,
24,,26.0,Syeed Gibbs,Fr.,DB,6-0,180.0,"Everett, Mass. / Everett",,
25,,27.0,Emmanuel Gomes,R-So.,DB,6-0,200.0,"Woonsocket, R.I. / Woonsocket",,
26,,28.0,Kamalie Pemberton,Fr.,RB,5-9,180.0,"Warwick, R.I. / Bishop Hendricken",,
27,,29.0,Henry Yianakopolos,R-Sr.,S/LB,6-1,225.0,"Hopkinton, N.H. / Hopkinton",,
28,,30.0,Andre DePina-Gray,Fr.,DB,6-1,216.0,"Pawtucket, R.I. / Saint Raphael Academy",,
29,,31.0,Andre Johnson,R-Jr.,LB,6-0,210.0,"Vero Beach, Fla. / Vero Beach",,
30,,32.0,Malik Hill,So.,DB,6-0,180.0,"North Providence, R.I. / Bishop Hendricken",,
31,,33.0,Mekhi Bethel,So.,LB,6-1,220.0,"Orlando, Fla. / Lake Nona",,
32,,34.0,Gabe Sloat,R-So.,RB,6-0,190.0,"North Kingstown, R.I. / North Kingstown",,
33,,35.0,Johnny Alvarado,R-So.,LB,6-1,260.0,"Bloomfield, N.J. / Don Bosco",,
34,,36.0,Harrison Leonard,R-So.,K,5-9,195.0,"Jamestown, R.I. / Avon Old Farms School (Notre Dame)",,
35,,37.0,Davey Schaum-Bartocci,R-Sr.,P,6-1,187.0,"Penfield, N.Y. / Webster Schroeder (St. Francis)",,
36,,38.0,Declan Williams,Fr.,LB,6-2,230.0,"Cinnaminson, N.J. / Paul VI",,
37,,39.0,Cole Brockwell,R-So.,LB,6-0,228.0,"Westport, Conn. / Staples",,
38,,40.0,Malik Gavek,R-Sr.,DB,5-10,195.0,"Cranston, R.I. / Cranston East",,
39,,41.0,Rocco Cillino,R-Fr.,RB,5-9,185.0,"Westerly, R.I. / Westerly",,
40,,42.0,Sean Stackpole,Fr.,TE,6-4,255.0,"Chelmsford, Mass. / The Tilton School",,
41,,43.0,Seun Filaoye,R-So.,DB,5-10,187.0,"Providence, R.I. / Bishop Hendricken",,
42,,44.0,James Makszin,R-Jr.,DL,6-3,290.0,"Norwalk, Conn. / St. Thomas More",,
43,,45.0,A.J. Pena,Fr.,LB,6-2,235.0,"Branchburg, N.J. / Milford Academy",,
44,,46.0,Gabe Franco,Fr.,LB,6-1,215.0,"East Providence, R.I. / Bishop Hendricken",,
45,,46.0,Dylan Shank,Fr.,K,5-11,205.0,"Mount Laurel, N.J. / Lenape",,
46,,47.0,Jarrett Martin,R-Jr.,LB,6-3,220.0,"Franklin, Mass. / Catholic Memorial (Bryant)",,
47,,48.0,Sean Pelkisson,R-So.,LB,6-3,240.0,"Downington, Pa. / Downington West (Ga. Southern)",,
48,,50.0,Matthew Osinaga,So.,DL,6-2,255.0,"Providence, R.I. / Mt. Pleasant",,
49,,51.0,Adebayo Adeyemo,Fr.,DL,6-6,275.0,"East Providence, R.I. / Bishop Hendricken",,
50,,52.0,Malachi Burby,R-So.,DL,6-3,265.0,"Berlin, Conn. / Cheshire Academy (Rutgers)",,
51,,54.0,Dylan Brown,R-Jr.,DL,6-3,340.0,"Tampa Bay, Fla. / The Hotchkiss School",,
52,,55.0,Matt Thomas,Jr.,DL,6-3,271.0,"Brooklyn, N.Y. / Midwood (Rutgers)",,
53,,56.0,Danilson DaVeiga,Sr.,LB,6-2,230.0,"Central Falls, R.I. / Shea",,
54,,57.0,Michael Strachan,R-Fr.,LB,6-2,230.0,"Attleboro, Mass. / Attleboro",,
55,,58.0,Jake Fire,R-Sr.,LB,5-11,230.0,"Stow, Mass. / Nashoba Regional",,
56,,59.0,Paul Fuller,Fr.,LB,6-2,205.0,"Larchmont, N.Y. / Mamaroneck (Suffield)",,
57,,60.0,Nick Lombardo,Fr.,OL,6-2,285.0,"Hope, R.I. / La Salle Academy",,
58,,61.0,Daniel Ayriyan,Sr.,OL,6-2,290.0,"Smithfield, R.I. / Smithfield",,
59,,62.0,Richard King,R-Fr.,OL,6-3,305.0,"Cranston, R.I. / Bishop Hendricken",,
60,,64.0,Sebastian Delasoudas,R-Jr.,OL,6-2,305.0,"Ft. Lee, N.J. / Don Bosco",,
61,,65.0,Ajani Cornelius,So.,OL,6-5,310.0,"Harlem, N.Y. / Stepinac",,
62,,66.0,Tosin Akinsulire,Fr.,DL,6-4,277.0,"Providence, R.I. / Classical",,
63,,67.0,Jordan Riendeau,R-So.,OL,6-5,285.0,"Narragansett, R.I. / Narragansett",,
64,,68.0,Kai Rose,R-Fr.,OL,6-3,330.0,"Martha’s Vineyard, Mass. / Tilton School",,
65,,69.0,Peter Papakyrikos,Fr.,DL,6-1,290.0,"Needham, Mass. / Needham",,
66,,70.0,Adam McKanna,R-Fr.,OL,6-5,300.0,"Summerville, S.C. / Summerville",,
67,,72.0,Jacob Otts,R-Fr.,OL,6-7,300.0,"Jacksonville, Fla. / Bartram Trail",,
68,,74.0,Tre Alexander,Fr.,OL,6-2,321.0,"Tampa, Fla. / Jesuit",,
69,,75.0,Nick Correia,R-Jr.,OL,6-6,330.0,"Nantucket, Mass. / Nantucket",,
70,,76.0,Michael Scibelli,R-Jr.,OL,6-3,290.0,"Oceanside, N.Y. / Oceanside (Miami)",,
71,,77.0,Asa Neal,Fr.,OL,6-4,305.0,"Rahway, N.J. / Erasmus Hall",,
72,,78.0,Lorenzo Thompson,R-Jr.,OL,6-7,295.0,"Syracuse, N.Y. / Cicero North",,
73,,79.0,Montaner Fresilli,R-So.,OL,6-2,285.0,"South Kingstown, R.I. / South Kingstown",,
74,,80.0,DeJuan Ellis,R-Jr.,WR,6-0,177.0,"Accokeek, Md. / McDonough (Maryland)",,
75,,81.0,Tommy Smith,R-So.,TE,6-2,230.0,"Maynard, Mass. / Maynard",,
76,,82.0,Caleb Warren,Sr.,TE,6-3,245.0,"Brandon, Fla. / Seffner Christian",,
77,,83.0,J.T. Gibbons,Sr.,WR,6-0,225.0,"Wakefield, R.I. / South Kingstown",,
78,,84.0,Jig Williams,So.,WR,6-3,195.0,"Minneola, Fla. / Lake Minneola",,
