,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Hometown/Previous School,Image,Title
0,,0.0,Bryce Buck,K,5-10,175.0,Jr.,,"Folsom, Calif. / Folsom HS",,
1,,0.0,Eian Moore,S,6-0,193.0,Sr.,1V,"Sacramento, Calif. / Sierra JC",,
2,,1.0,Kaiden Bennett,QB,5-11,188.0,Jr.,2V,"Sparks, Nev. / Nevada",,
3,,1.0,Caleb Nelson,CB,6-1,192.0,Sr.,1V,"Roseville, Calif. / North Dakota",,
4,,2.0,Patrick Dean,CB,5-11,177.0,Jr.,2V,"Ontario, Calif. / Colony HS",,
5,,2.0,Dorian Hale,QB,6-0,183.0,So.,1V,"Brentwood, Calif. / De La Salle HS",,
6,,3.0,Chris Miller,WR,6-2,182.0,Jr.,2V,"Los Angeles, Calif. / Culver City HS",,
7,,4.0,Armon Bailey,LB,6-1,228.0,Sr.,3V,"Vallejo, Calif. / Vanden HS",,
8,,5.0,Devin Gandy,WR,6-1,166.0,So.,1V,"Fontana, Calif. / Silverado HS",,
9,,6.0,Ezra Moleni,RB,6-0,193.0,Jr.,,"MIdvale, Utah / San Mateo JC",,
10,,6.0,Jace O'Hara,NB,5-11,191.0,Sr.,2V,"Rolling Meadows, Ill. / Dupage JC",,
11,,7.0,Cameron Broussard,S,6-3,197.0,Jr.,2V,"Folsom, Calif. / Folsom HS",,
12,,7.0,Carson Camp,QB,6-3,210.0,Jr.,,"Bloomington-Normal, Ill. / South Dakota",,
13,,8.0,Jared Gipson,WR,6-1,201.0,Jr.,2V,"Stockton, Calif. / St. Mary's HS",,
14,,9.0,Marcus Fulcher,RB,5-9,212.0,Sr.,3V,"Fresno, Calif. / Bullard HS",,
15,,10.0,Brock Mather,LB,6-0,230.0,Sr.,1V,"Ridgecrest, Calif. / Bakersfield JC",,
16,,11.0,Parker Clayton,WR,6-0,185.0,Sr.,3V,"Folsom, Calif. / Folsom HS",,
17,,13.0,Zeke Burnett,RB,5-10,202.0,Fr.,RS,"Sacramento, Calif. / Elk Grove HS",,
18,,14.0,Marcus Aponte,S,6-0,200.0,Sr.,2V,"Salida, Calif. / St. Mary's HS",,
19,,15.0,Sawyer Merrill,WR,6-0,184.0,Jr.,1V,"El Dorado Hills, Calif. / American River JC",,
20,,16.0,Marshel Martin,TE,6-2,210.0,Sr.,3V,"Vallejo, Calif. / St. Patrick-St. Vincent HS",,
21,,17.0,Carson Conklin,QB,6-1,185.0,Fr.,,"Yorba Linda, Calif. / Centennial HS",,
22,,18.0,Xavier Mason,WR,6-0,207.0,Jr.,2V,"Tacoma, Wash. / Stadium HS",,
