,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Gianini Belizaire,DL,6-1,310.0,So.,"Gonaives, Haiti / Snider",Southern Illinois University,,,
1,,0.0,Michael Haupert,QB,5-11,185.0,R-Jr.,"Fort Wayne, Ind. / Snider",,,,
2,,1.0,Dakota Caton,WR,5-10,185.0,R-Jr.,"Sullivan, Ind. / Sullivan",,,,
3,,1.0,Stephen Ruiz,K,6-5,220.0,R-Jr.,"Naperville, Ill. / Neuqua Valley",Boston College/University of New Mexico,,,
4,,2.0,Geoffrey Brown,LB,6-1,230.0,So.,"Fishers, Ind. / Fishers",,,,
5,,3.0,Michael Lufile,LB,6-2,235.0,R-Jr.,"Grand Prairie, Texas / South Grand Prairie",Monroe College/Cisco College,,,
6,,4.0,Tee Hodge,RB,6-1,215.0,R-Fr.,"Maryville, Tenn. / Maryville",University of Tennessee,,,
7,,4.0,Ethan Hoover,DB,5-11,205.0,R-So.,"Fort Wayne, Ind. / Snider",,,,
8,,5.0,Omarion Dixon,RB,6-1,210.0,R-Fr.,"Lafayette, Ind. / Harrison",,,,
9,,5.0,Antoineo Harris Jr.,DL,6-4,245.0,So.,"Chicago, Ill. / Morton West",Iowa Central Community College,,,
10,,5.0,Tanner Klein,WR,6-0,190.0,R-So.,"Champaign, Ill. / Byron",,,,
11,,6.0,Kris Reid Jr.,DL,6-2,245.0,R-Sr.,"Chicago, Ill. / St. Joseph Westchester",,,,
12,,6.0,Harry Van Dyne,WR,6-5,220.0,R-Sr.,"Overland Park, Kan. / Blue Valley",University of Minnesota,,,
13,,7.0,Johnathan Edwards,DB,6-1,200.0,So.,"St. Louis, Mo. / Parkway North",,,,
14,,7.0,Evan Olaes,QB,6-0,205.0,R-Fr.,"North Las Vegas, Nev. / Legacy",Colorado State University,,,
15,,8.0,Dante Hendrix,WR,6-3,210.0,R-Sr.,"Florence, Ky. / Randall K. Cooper",,,,
16,,9.0,Cade Chambers,QB,6-4,215.0,R-Fr.,"Maryville, Tenn. / Maryville",,,,
17,,9.0,Jordan Jenkins,DB,6-0,200.0,So.,"Missouri City, Texas / Elkins",Blinn College/Air Force Academy Prep,,,
18,,10.0,Cornelius Doe,DB,5-11,180.0,Sr.,"Deerfield Beach, Fla. / Deerfield Beach",Florida Institute of Technology,,,
19,,10.0,Gavin Screws,QB,6-1,215.0,R-So.,"Jacksonville, Fla. / Baldwin",Butler CC/Troy University,,,
20,,11.0,Jarin Johnson,LB,6-3,225.0,So.,"Arlington, Texas / Bowie",,,,
21,,12.0,Payton Edwards,DB,6-0,185.0,Jr.,"Port St. Joe, Fla. / Amos P. Godby",Monroe College/Dodge City CC,,,
22,,12.0,Michael Vazquez,WR,6-0,200.0,R-Fr.,"Carol Stream, Ill. / Glenbard North",,,,
23,,13.0,Joseph Sopiarz,LS,5-11,175.0,Fr.,"Carol Stream, Ill. / Glenbard North",,,,
24,,13.0,Juju Williams,DL,6-3,255.0,R-So.,"Hemingway, S.C. / Hemingway",Middle Tennessee State University,,,
25,,14.0,Kaleal Davis,DB,6-1,200.0,So.,"Newport, Ky. / Newport",,,,
26,,15.0,Daijon Collins,WR,5-9,180.0,R-Jr.,"Indianapolis, Ind. / Cathedral",,,,
27,,15.0,John Prince,DL,6-3,240.0,Fr.,"Valhalla, N.Y. / Archbishop Stepinac",,,,
28,,16.0,Anthony Beacom,P,5-10,215.0,R-Fr.,"Roselle, Ill. / Lake Park",Northern Illinois University,,,
29,,17.0,Maddix Blackwell,DB,5-10,190.0,R-Fr.,"Bloomington, Ind. / Bloomington South",,,,
30,,17.0,Anthony Garzolini,QB,6-5,220.0,Fr.,"Terre Haute, Ind. / South Vermillion",,,,
31,,18.0,Ethan Cain,LB,6-0,220.0,R-Fr.,"Elkhart, Ind. / Concord",,,,
32,,18.0,Kai Rios,TE,6-6,250.0,Fr.,"Rock Island, Ill. / Rock Island",,,,
33,,19.0,Dane Andrews,QB,6-1,225.0,So.,"West Terre Haute, Ind. / West Vigo",Franklin College,,,
34,,19.0,Omar Jackson,DB,5-10,190.0,R-So.,"Fort Wayne, Ind. / South Side",,,,
35,,20.0,Malik Chatman,DB,6-2,180.0,R-Jr.,"Fort Lauderdale, FL / Jasper",Highland CC/University of Charleston,,,
36,,21.0,Evan Reff,DB,6-0,195.0,Fr.,"Newburgh, Ind. / Castle",,,,
37,,21.0,Matae Thomas,TE,6-5,240.0,R-Jr.,"Corona, Calif. / Norco",,,,
38,,22.0,Dawson Basinger,RB,5-10,195.0,R-So.,"Shelburn, Ind. / North Central",,,,
39,,22.0,Cam Thornton,DB,6-1,200.0,R-Fr.,"Schererville, Ind. / Andrean",,,,
